date,평균기온(°C),최저기온(°C),최고기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C),watt
20140323,10.3,3.4,17.7,0.6,1019.8,1028.3,22.15,11.6,1079.019741
20140324,10.6,1,17.4,1.3,1014.7,1023.1,19.48,11.8,1082.104673
20140325,14.9,13.2,18.9,10.9,1006.9,1015.1,8.37,14.8,1068.924309
20140326,14.9,11.9,20.7,11.9,1002.4,1010.5,11.26,15.1,1071.704483
20140327,13.5,7.6,20.8,8.8,1009.1,1017.3,18.12,14.4,1047.587989
20140328,17.4,9.4,25.7,7.8,1008.6,1016.7,21.73,17.4,1094.687048
20140329,14.8,13.7,17,12.4,1000.4,1008.6,3.76,14.7,1074.824272
20140330,14.5,11.6,19.1,9.7,1001.5,1009.7,16.06,15.5,1033.745683
20140331,13.7,7.8,20.5,6.7,1008.4,1016.7,18.21,14.2,1109.49925
20140401,14.8,6.1,23.7,2.5,1007.9,1016.1,23.04,15.5,1027.128066
20140402,15.8,7.5,24.1,1.8,1008.5,1016.7,22.08,16.5,1046.218818
20140403,11.6,5,20.7,2.7,1005.3,1013.6,17.06,14.7,1010.101476
20140404,7.3,1.8,13.6,-3,1005.2,1013.6,25.2,12.2,1060.943995
20140405,5.7,0.3,12.1,-1.7,1006.8,1015.3,16.15,8.5,992.3891318
20140406,8,1.7,15,-4,1012.4,1020.9,26.9,11.6,1032.348792
20140407,11.6,5.8,19.5,2.6,1011,1019.4,23.49,14.2,1062.106219
20140408,12.7,2.9,21.6,-0.2,1009.8,1018.1,25.41,16.2,1057.933666
20140409,13.7,5.6,22.6,5.8,1008.8,1017.1,24.43,17.6,1069.299935
20140410,14.4,8,22.1,7.6,1010.5,1018.7,20.44,17.2,1031.511099
20140411,14.3,10.2,19.5,6.7,1011.1,1019.3,13.73,17.1,1065.855085
20140412,15.1,11.7,19.8,9.9,1009.3,1017.5,11.28,15.8,1023.445654
20140413,15.4,11.6,21.7,6.7,1008.9,1017.1,15.14,17.3,1034.833781
20140414,15.3,5.4,24.6,3.7,1012.1,1020.4,23.81,18.8,1026.996676
20140415,16,8.5,24.5,9.7,1011.4,1019.6,22.95,19.9,1046.424089
20140416,17.5,11.9,24.4,7.3,1007.7,1015.8,21.76,20.8,1043.270856
20140417,13.6,6.5,21.7,6,1005.4,1013.6,12.81,16.1,1000.977185
20140418,15.9,12,20.9,11,1007.4,1015.6,18.75,18,1041.263989
20140419,13.8,11,18.3,7,1011.7,1020,14.89,15.3,1039.176171
20140420,15.1,9.4,22.2,5.5,1009.6,1017.8,26.43,18.9,1059.075676
20140421,15.6,8.9,22.6,4.9,1007.4,1015.6,23.72,18.3,1059.132397
20140422,15.1,8.1,22.9,2.8,1007.6,1015.8,24.05,17.3,1036.120972
20140423,16.5,6.9,25,5,1010.1,1018.3,24.98,20.2,1060.568375
20140424,18.4,9.8,26.7,6.8,1013.2,1021.3,24.67,22.3,1033.366623
20140425,18.5,10.1,27.2,4.9,1014.9,1023.1,25.25,22,1018.432319
20140426,17.8,11.1,24,8.9,1014.7,1022.8,14.62,19.9,1061.058296
20140427,15.4,13.4,18.1,13.9,1011.9,1020.2,5.68,16.5,1034.482167
20140428,13.5,12.5,15,11.9,1004.7,1012.9,2.52,13.6,1024.911795
20140429,14.3,11.8,17.1,12.7,1000.7,1008.8,8.35,15.2,1058.344901
20140430,15.7,9.9,20.3,11.1,1001.9,1010,17,18.3,1053.646167
20140501,16.4,10.1,23.3,9.7,1006.1,1014.2,26.77,19.8,1033.77031
20140502,16.7,9.2,25.8,9.7,1005.7,1013.9,23.61,20.3,1041.703226
20140503,14.6,8.4,21.4,2.9,1011,1019.2,30.72,19.8,1024.588563
20140504,12.7,7.4,21,6.1,1007.8,1016.1,15.32,15.6,1041.464872
20140505,11.4,5.7,17.4,1.6,1010,1018.4,30.46,16.2,1015.794372
20140506,13.7,6.7,19.7,1.9,1010.5,1018.7,30.47,19,1040.750537
20140507,16.2,6.2,24.1,3.9,1005.2,1013.3,30.21,20.7,1021.187161
20140508,15.7,11.2,20.9,10.3,1003.5,1011.7,23.59,20.2,1028.646441
20140509,16.4,9.7,23.7,8.6,1010,1018.2,28.1,21.6,1009.686305
20140510,19.7,11,26.7,6.5,1012,1020.1,30.22,24.5,1027.562456
20140511,18.5,14.8,23.9,9.8,1004,1012,13.34,19.8,1049.394696
20140512,17.5,14.7,21.5,13.4,999.1,1007.2,24.6,20.1,988.2628103
20140513,20.4,13.5,26.8,13.7,1000.1,1008.1,28.46,22.8,1038.786985
20140514,20.7,16,28,12.8,993.9,1001.8,23.86,23.4,1040.66395
20140515,19.1,14.9,25.1,10.4,993.8,1001.7,26.15,22.7,1053.235052
20140516,19.7,13.4,26.4,10,1001,1009,28.17,23.9,1063.872652
20140517,20.1,13.6,26.2,11.4,1004.3,1012.3,24.45,24,1026.048743
20140518,20.6,13.3,27.7,8.2,1005.2,1013.2,28.33,25.1,1043.730664
20140519,20.6,12.1,28.3,9.1,1004.3,1012.3,26.71,25.5,1022.898263
20140520,19.5,16.7,23.7,13.6,998.8,1006.8,10.56,20.7,1036.912785
20140521,18.9,13.9,25.6,13.9,999.6,1007.5,23.27,23.3,1038.662762
20140522,21.3,13.4,29.1,13.7,1004.3,1012.3,29.38,27.7,1029.062771
20140523,22.4,18.3,27.3,15.9,1010,1017.9,23.12,28.2,1036.611089
20140524,22.8,17.3,30.1,17,1008.9,1016.8,22.56,28.7,1048.979789
20140525,21.3,18.7,26.6,17.4,1001,1008.9,11.53,25,1030.314481
20140526,21.4,18,26,12.3,995.6,1003.5,28.35,23.8,1046.338892
20140527,23.7,15.4,29.9,9.4,993.5,1001.3,27.77,24.8,1028.519729
20140528,23.8,19.2,28.8,15,993,1000.7,25.74,26.7,1025.442864
20140529,23.9,16.9,31.6,15.2,999.4,1007.3,29.5,28.7,1054.991969
20140530,24.6,15.5,32.4,12.5,1002.5,1010.4,30.39,29.8,1028.464264
20140531,25.6,17.4,33.3,14.8,1004.9,1012.8,28.57,30.8,1021.648073
20140601,23.7,18.4,28.9,16.9,1004.2,1012,14.91,26.6,1003.127633
20140602,21.6,19.2,24.8,16.2,999.2,1007.1,5.8,21.8,995.1891774
20140603,19.5,17.4,21.5,17.8,997.5,1005.5,7.56,20.3,984.5190456
20140604,22.3,19.8,26.5,17.1,996.9,1004.8,13.58,23.5,1027.276553
20140605,21.9,19.8,24.7,16.4,996.6,1004.5,10.36,21.1,998.6280665
20140606,23.2,16.8,29.1,17.1,997,1004.8,28.7,27.4,987.9194638
20140607,23.4,18.4,28.4,18,997.1,1004.9,19.29,26.5,1010.536403
20140608,22.8,19.5,27.1,18,998.9,1006.8,24.74,27.9,996.0491914
20140609,22.3,19.4,28.1,19.3,1001.6,1009.5,17.28,26.9,990.051134
20140610,22.3,18.6,27.6,18.8,1001.7,1009.6,19.79,25.2,992.7742055
20140611,21.9,17.8,26.5,17.5,998,1005.9,24.11,25.5,985.795883
20140612,19.7,16.5,25.7,17.2,994.7,1002.6,19.02,24.9,994.0787836
20140613,20.7,16.8,24.9,18,996.7,1004.6,18.24,22.2,990.2115898
20140614,22.1,17,27.3,17.7,999.7,1007.6,25.7,24.4,978.8054149
20140615,22.6,17,28,17.9,999.4,1007.3,25.69,24.6,1013.156115
20140616,23.3,17.4,28.4,17.6,998.4,1006.3,23.47,26.7,989.5280185
20140617,23.6,21.1,27.9,19.9,997,1004.8,15.47,25.6,991.1511907
20140618,24.3,18.3,30.3,16.9,996.7,1004.5,29.7,29.6,1011.120431
20140619,23.4,19.4,27.6,19.1,998.5,1006.3,16.15,27.8,989.9078793
20140620,23.1,19.1,28.4,20.3,1000,1007.9,16.45,27.1,1009.271838
20140621,21.9,19.2,25,18.6,1000.2,1008.1,14.75,23.7,992.4334662
20140622,23.9,18.7,29.4,18.7,999.2,1007,27.4,28.2,1028.915737
20140623,22.5,20.3,27.1,19.7,998.5,1006.4,14.82,24.3,1020.623966
20140624,22.4,18.8,27.6,19.5,998.8,1006.6,18.03,24.3,985.8176144
20140625,23.9,18.9,28.4,19.5,1000.7,1008.5,23.72,27.2,981.1102631
20140626,25.2,20.3,30.5,19.5,999.4,1007.3,27.42,31.6,1003.464977
20140627,25.5,20.9,31.1,18.9,997,1004.8,27.76,32.1,1002.22383
20140628,25,21.4,30.1,18.8,995.5,1003.2,23.25,32.9,1005.291154
20140629,24.7,20.1,29,19.3,997.4,1005.2,22.3,32.6,973.6630752
20140630,25.3,19.9,30.5,19,1000.7,1008.5,29.75,34.4,1011.463717
20140701,26.6,21.7,32.6,20.3,1002.2,1010,29.17,36.2,1015.648283
20140702,24.3,21.7,28.7,20.9,999.4,1007.3,11.84,28.6,1003.874013
20140703,21.6,19.8,23.9,20.7,993.3,1001.2,6.69,23,1022.53947
20140704,25.4,20.8,30.4,21.3,998.6,1006.3,23.03,28,1014.481532
20140705,25.5,22.1,28.9,21.3,1002.4,1010.2,16.83,27,1015.755875
20140706,22,20.8,24.2,19.8,998.8,1006.7,7.42,22.9,1013.443732
20140707,25.1,19.9,29.5,21.4,998,1005.8,22.01,27.6,1030.061182
20140708,27,23.1,31.3,23.3,998.9,1006.7,21.17,31.1,1030.312615
20140709,26.9,24.4,29.7,24.8,993.7,1001.4,14.07,31.5,1008.837186
20140710,28,24.4,32.8,22.3,988.3,995.9,27.1,33.4,992.5710621
20140711,26.7,23,32.3,20.5,993.7,1001.4,26.11,30.8,1023.981985
20140712,24.8,22.1,28.1,21.2,996.4,1004.2,11.93,27.5,1017.316331
20140713,24.4,21.2,28.8,21.5,995.9,1003.7,18.31,26.8,1006.325432
20140714,25.9,21.9,31.1,21.4,1000.4,1008.2,22.84,29.5,1004.153767
20140715,25.3,22.1,28.7,22.3,1002.5,1010.3,11.56,26.6,1004.103553
20140716,26.3,22.6,30.8,21.8,1002.6,1010.4,19.27,32.5,1010.907645
20140717,24.6,22.9,27,22.4,1003.9,1011.8,8.92,25.4,1023.774226
20140718,24.8,20.3,29.4,23.1,1004.5,1012.4,17.69,27.4,1005.984527
20140719,26.9,24.6,30.9,24.7,1004.6,1012.4,16.62,28,1041.667376
20140720,27.9,24,33,23.8,1003.2,1011,25.85,31.5,1018.710036
20140721,27.8,25.3,31.9,23.8,1001.1,1008.9,19.25,31.4,1030.932789
20140722,26.9,24.5,29.9,23.4,999.9,1007.6,18.32,30.2,1015.860999
20140723,26.3,25.1,28.8,24.2,998.3,1006,6.37,26.2,1034.045489
20140724,27.4,25.6,30.7,25.9,998.5,1006.2,18.1,29.6,1016.611214
20140725,29.9,25.1,34.9,24.7,997.3,1005,23.77,33.1,1018.752891
20140726,24.8,21.6,28.8,21.2,1000.8,1008.7,9.66,24.6,1007.51366
20140727,24.7,19.3,30.5,20,1003,1010.9,27.88,30.9,993.2100725
20140728,25.2,20.5,30.3,21.2,1001.2,1009,17.18,28,1031.358163
20140729,24.3,20.6,29.2,22,1001.9,1009.8,17.31,27.6,1034.321622
20140730,28.6,23.1,34.2,24.3,1002.8,1010.5,25.06,30.6,1012.306401
20140731,27.3,24.2,34,24.9,1002.4,1010.2,21.45,27.7,1009.008513
20140801,27.9,23.2,31.8,23.8,999.4,1007.1,16.48,29.6,1088.506847
20140802,27.4,23.8,31.2,23.6,993.3,1000.9,14.2,28.5,1062.397998
20140803,26.2,24.3,27.7,24.6,988,995.7,6.5,26.2,1085.072232
20140804,25.6,24.4,27.3,25.1,991.6,999.4,8.12,27.9,1066.599471
20140805,27,24.6,31,24.4,997,1004.7,19.87,30.1,1073.533762
20140806,26,24,28.7,23.8,998.3,1006.1,8.2,27.6,1073.841754
20140807,21.5,20.3,24,21.3,999.2,1007.1,3.23,22.8,1094.380483
20140808,23.5,19.8,26.5,20.3,1000.2,1008.1,15.44,25.8,1073.967216
20140809,25.8,22.9,29.8,19.8,997.4,1005.2,20.49,30.1,1098.470309
20140810,23.5,21.2,27.3,20.8,992.5,1000.3,10.18,25.6,1080.800023
20140811,23.6,18.7,28.6,20,994.7,1002.5,22.94,26.7,1101.084621
20140812,25.1,19.4,30.3,21.1,997.3,1005,25.88,30.1,1093.100437
20140813,23.2,21,26.1,22.3,1001,1008.8,4.69,24.6,1091.311014
20140814,20.9,19.7,21.9,20.5,1001.5,1009.5,5.29,22.7,1068.06231
20140815,24.2,20.6,28.7,22.5,1000.7,1008.5,16.11,28.4,1082.987687
20140816,26,22.2,30.5,22.1,1002.4,1010.2,20.06,30.7,1087.512883
20140817,22.7,20.7,26.6,21.7,1004.3,1012.2,5.58,23.9,1057.408338
20140818,21.6,19.8,23.5,21.2,1001.2,1009.1,5.23,22.8,1068.764526
20140819,24,22,27.4,22.9,1002.3,1010.2,9.74,26.5,1073.663452
20140820,24,22.3,26.7,22.8,1002.9,1010.8,7.86,26.1,1102.238276
20140821,23.1,21.4,26.9,22.6,999.5,1007.4,4.78,23.3,1079.115147
20140822,24.5,21.5,28.6,21.9,1003.3,1011.1,17.6,27.1,1069.893021
20140823,24.5,21,29.4,21.5,1002.5,1010.4,20.77,27.9,1056.21856
20140824,24.6,21.5,28,22.6,1001,1008.8,10.2,25.9,1082.943692
20140825,23.2,22.4,24.5,22.8,999.4,1007.2,4.42,24.4,1069.427127
20140826,25.2,22.1,29.2,22.5,1003.1,1010.9,16.25,27.2,1074.156138
20140827,23.8,20.9,27,20.4,1007.2,1015.1,14.85,28.1,1067.398464
20140828,23.9,20.4,28.5,19.7,1008.6,1016.5,23.18,28.4,1085.401137
20140829,23.5,19.4,28.3,18.9,1007.7,1015.6,23.86,28,1082.00315
20140830,23.5,18.8,28.5,18,1006.9,1014.9,25.01,28.3,1101.56055
20140831,22.2,18.6,26.7,16.9,1006,1014,16.94,25,1094.871139
20140901,23.4,17.4,29.2,17.9,1006.2,1014.1,25.33,28.6,1090.298143
20140902,21.7,19.4,24.7,18.6,1003.8,1011.7,9.32,24.2,1141.711845
20140903,22.3,19.5,26.8,20.4,995.8,1003.6,7.3,22,1108.133617
20140904,23.2,20.1,28.1,19.6,1000.8,1008.7,16.08,25.4,1126.748024
20140905,23,17.3,29.1,18.9,1005,1013,23.64,26.6,1125.306883
20140906,23.5,19.6,30.1,19.7,1004.3,1012.2,19.04,26.5,1111.660246
20140907,24.1,17.7,31.1,19.9,1001.1,1008.9,20.72,28.3,1137.768204
20140908,24,19.9,29.8,21,999.3,1007.2,17.93,25.3,1105.010288
20140909,22.4,18.1,27.2,18.3,1000.6,1008.5,13.82,25.4,1123.642385
20140910,20.6,14.2,27.2,14.8,1003,1011,24.45,25.6,1116.046131
20140911,21.7,15.6,28.5,16.8,1005.1,1013.1,21.62,26.2,1080.229265
20140912,21.5,18.4,25.1,18.7,1005.9,1013.9,9.03,23.6,1120.956233
20140913,22.8,18,27.7,17.1,1006.9,1014.8,21.1,26.5,1113.65037
20140914,22.2,16.7,27.6,16.1,1007.5,1015.5,22.15,26.8,1117.536702
20140915,22.5,19,27.1,17.6,1005.9,1013.9,14.42,25.9,1126.696865
20140916,21.5,17,27.3,13.7,1007.4,1015.4,21.13,26,1124.559398
20140917,19.9,17.1,24.7,14.1,1008.3,1016.3,11.98,23.6,1128.552004
20140918,20.1,15.8,25,15.2,1009.3,1017.3,15.87,24,1151.237996
20140919,20.1,13.6,27.7,11.6,1006.9,1014.9,24.34,25.5,1126.730072
20140920,20,12.9,27.5,12.6,1006.3,1014.4,21.98,25.7,1114.707976
20140921,20.7,15.1,27.1,14.6,1009.3,1017.4,20.65,25.7,1105.016592
20140922,21.5,14.8,28.7,14.6,1010.6,1018.6,21.88,26.8,1133.856065
20140923,22.3,16.5,29.1,16.7,1009.1,1017.1,18.54,25.6,1133.499375
20140924,18.2,16.6,19.4,17.9,1000.8,1008.8,3.77,19.7,1119.168365
20140925,20.4,15.8,26.9,17.5,1005.7,1013.7,20.09,22,1104.378126
20140926,21.4,18.4,26,17.3,1008.6,1016.6,14.78,22.5,1116.219497
20140927,21.2,17,25.7,17.6,1009.3,1017.3,14.36,22.1,1089.255795
20140928,21.1,16.8,26.4,18.2,1007.9,1015.9,14.6,22.1,1112.512216
20140929,20.1,18.7,21.6,19.3,1005.7,1013.7,2.69,20.7,1126.845547
20140930,19.7,17.1,24.2,16.9,1008.7,1016.8,11.74,21.5,1139.177694
20141001,19.6,16,24.2,15.5,1009.3,1017.3,14.42,22.1,1022.139119
20141002,19.3,16.1,23.1,16.1,1002.7,1010.7,9.58,20.7,1027.949782
20141003,16.8,12.9,21.1,12.1,1004.9,1013,15.02,18.8,1004.78193
20141004,16.7,11.1,23.3,11.3,1011.3,1019.5,18.64,18.8,1036.906126
20141005,17.5,12.2,23.2,9.6,1009.7,1017.8,20.45,20.7,1035.317227
20141006,15.2,10,21.5,9.2,1010.3,1018.5,18.66,18.2,1021.639913
20141007,15.9,9.4,23.7,10.5,1014,1022.2,19.14,19.9,1044.184395
20141008,16,9.6,23.4,11.3,1014,1022.2,19.54,20,1025.856273
20141009,17.1,10.6,25.1,12.3,1012.7,1020.8,18.16,20.6,1063.817127
20141010,19.1,11.5,27.1,12.6,1013.3,1021.4,19.18,21.6,1019.612808
20141011,19.9,15.8,25.9,12.2,1014.6,1022.7,19.6,22.8,1009.849827
20141012,18.5,14.2,22.3,13.3,1009.9,1018,11.02,19.6,1007.135255
20141013,16.6,10.7,21.1,12,1003.4,1011.5,8.85,17.7,1047.27656
20141014,13.1,7.7,20.2,7.2,1009.1,1017.4,19.25,16.6,997.9290305
20141015,13,6.2,20.6,7,1010.4,1018.7,19.01,16.2,1016.324306
20141016,13,8.3,19.5,6,1011.5,1019.8,16.41,15.6,1020.419875
20141017,12.2,4.7,21.1,4.5,1015.4,1023.7,19.32,15.2,1000.89679
20141018,12.9,5.3,21.9,6.5,1016.2,1024.5,17.45,15.5,1027.678452
20141019,14.8,6.4,22.4,9.2,1014.5,1022.7,13.83,16.1,1019.562955
20141020,16.8,14.4,18.3,16.5,1008.9,1017,1.16,16.5,1027.816593
20141021,15.5,11.8,17.7,15.3,1007.1,1015.3,1.23,16.2,1013.613094
20141022,13.2,10.6,17.3,11.3,1011.7,1019.9,10.45,14.8,1024.520744
20141023,12.8,7.1,20,9.4,1013.2,1021.5,16.64,14.8,1029.779839
20141024,13.8,7.9,21.1,11.1,1012.7,1021,15.35,15,1033.04477
20141025,13.9,8.4,23,10.5,1012.7,1021,15.3,14.7,1031.79625
20141026,15.2,7.7,21.5,12,1010.8,1019,15.88,15.6,1046.500993
20141027,11.3,6.6,17.8,3.6,1015.1,1023.5,16.87,12.9,1020.633284
20141028,9.2,2.5,18.8,2.9,1018,1026.4,16.92,10.7,985.3434958
20141029,10.5,3.1,20.5,5.2,1018.4,1026.8,13.81,11.6,1019.010521
20141030,11.2,5,17.5,7.4,1016.4,1024.8,8.84,11.4,1004.38271
20141031,12.1,11.2,12.7,11.7,1010.4,1018.7,1.62,12,1011.150171
20141101,13.7,11.6,15.7,13.3,1005.5,1013.7,3.3,14,1029.155405
20141102,11.3,8.6,13.4,6.7,1004.7,1013,5.74,11.1,986.2180481
20141103,8.4,2.8,14.4,0.7,1011.7,1020.1,15.04,8.5,1012.16592
20141104,9.1,2.5,17.6,4.1,1014.1,1022.6,15.72,9.9,997.4144588
20141105,10,3.1,17.6,5.5,1013.1,1021.5,14.87,10.3,1005.233101
20141106,11.7,8.5,18.1,8.5,1012.9,1021.2,8.22,11,1034.006256
20141107,9.8,3.9,17.2,4.7,1017.2,1025.6,13.79,10,1034.220294
20141108,10.6,6.7,14.8,8.1,1016.6,1025,5.36,10.5,1029.664013
20141109,9.9,4.9,15.8,4.3,1015.8,1024.2,13.73,10.7,1010.892571
20141110,8,1.6,16.8,1.1,1014.6,1023.1,14.66,8.2,992.9170224
20141111,8.8,1.2,16,4.3,1009.1,1017.5,12.45,8.4,1015.6565
20141112,7.9,2.7,11.8,2,1006.7,1015.1,7.54,7.7,1005.325051
20141113,2.3,-2,7.1,-5.4,1015.6,1024.3,12.47,3.5,1005.372798
20141114,5.8,1.4,11.6,-0.9,1017.3,1025.8,12.25,6,965.6994099
20141115,5.7,0,12,-0.4,1021.3,1029.9,12.61,5.6,995.4427816
20141116,8.4,4.2,13.5,-2,1017.4,1025.9,10.7,8,991.3566455
20141117,7.2,3.9,12.4,1.4,1016.5,1025,8.34,7.5,1000.042108
