date,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),elec
20140128,3.1,-3.3,8.7,0.0,3.7,1.7,340.0,-5.5,58.4,1016.1,1024.8,7.6,11.47,0.0,4.5,3.0,1.8,845467.5833775906
20140129,2.1,-7.2,10.2,0.0,1.8,0.7,340.0,-7.7,52.5,1013.8,1022.5,6.5,12.08,0.0,4.6,2.3,0.2,846025.3660623687
20140130,4.8,0.5,8.2,0.4,4.3,1.0,340.0,1.7,82.0,1008.1,1016.7,0.0,0.97,0.0,7.0,7.0,3.0,847652.4308525181
20140131,2.4,-3.9,11.3,0.0,2.5,0.9,320.0,-5.4,61.3,1015.2,1023.9,9.2,13.32,0.0,0.9,0.9,2.0,846785.4213840363
20140201,7.5,1.1,13.9,6.3,3.5,0.7,320.0,1.4,67.6,1007.0,1015.5,3.0,7.01,0.0,9.1,7.5,5.2,806239.563967631
20140202,8.7,6.1,11.2,0.2,3.9,1.6,200.0,7.6,93.6,1002.1,1010.4,0.2,4.42,0.0,9.0,8.8,9.1,805298.5964693263
20140203,-0.2,-5.7,6.1,0.0,4.7,2.5,340.0,-8.8,55.5,1008.4,1017.1,3.2,9.12,0.0,4.3,3.1,2.1,806127.2691294721
20140204,-6.4,-10.7,-1.2,0.0,5.0,2.0,320.0,-16.9,45.3,1016.9,1025.8,9.6,16.27,0.0,0.6,0.0,-2.9,806386.9456684216
20140205,-4.6,-9.0,1.0,0.0,2.2,0.9,50.0,-16.2,40.9,1020.2,1029.2,5.2,11.93,0.0,5.3,0.5,-1.9,806686.0516988385
20140206,-0.6,-4.7,4.8,0.0,2.6,0.9,20.0,-12.0,42.5,1017.0,1025.8,4.6,10.12,0.0,7.0,2.4,-0.6,807431.5851189729
20140207,2.7,-2.5,7.7,0.0,6.0,2.2,90.0,-3.3,64.9,1011.4,1020.1,2.9,8.29,0.0,7.5,4.3,1.1,807374.6656307934
20140208,3.0,0.9,5.2,1.3,5.4,2.2,110.0,0.1,82.0,1008.6,1017.2,0.0,4.08,0.0,10.0,6.3,2.6,806319.8053601094
20140209,-0.2,-1.4,1.7,0.1,3.8,1.3,340.0,-3.4,79.5,1012.8,1021.6,0.3,6.07,0.0,9.6,7.9,1.1,807475.6728416668
20140210,0.2,-2.2,3.2,0.6,3.6,1.4,340.0,-3.1,79.0,1016.7,1025.5,2.2,7.26,1.3,7.3,6.5,1.4,807428.505837774
20140211,1.1,-3.6,6.5,0.0,5.7,2.9,110.0,-6.3,58.9,1017.6,1026.3,9.8,15.68,0.0,1.8,0.5,2.0,806965.6526419106
20140212,2.6,-1.3,8.9,0.0,4.3,2.2,110.0,-5.3,57.4,1019.5,1028.2,8.0,15.31,0.0,4.8,3.3,2.6,805655.1484127437
20140213,2.8,-1.4,8.2,0.0,4.6,1.7,110.0,-3.6,63.8,1021.4,1030.0,4.3,11.7,0.0,7.3,0.5,2.4,807818.7908888453
20140214,2.4,-0.9,6.6,0.0,5.0,2.4,90.0,-3.6,65.5,1019.6,1028.3,5.8,10.5,0.0,5.3,3.5,1.8,805407.6230791161
20140215,2.5,-3.2,9.3,0.0,3.2,1.0,320.0,-4.2,63.9,1018.8,1027.5,9.9,16.65,0.0,1.0,1.0,2.9,805266.8633348347
20140216,2.8,-3.2,10.9,0.0,2.3,0.8,320.0,-3.5,65.6,1019.9,1028.6,4.6,10.14,0.0,6.0,0.3,2.7,806143.9857374855
20140217,4.6,1.0,9.2,0.0,4.6,1.5,110.0,-1.7,64.9,1018.3,1026.9,0.0,7.06,0.0,8.5,3.8,3.2,805046.2777210354
20140218,3.7,0.4,7.2,0.0,6.0,3.2,90.0,-4.6,55.3,1017.9,1026.6,3.5,10.77,0.0,5.8,1.8,3.6,806706.2996749863
20140219,2.5,-2.2,8.7,0.0,5.0,1.7,110.0,-6.3,54.0,1017.9,1026.6,9.1,15.3,0.0,5.3,0.0,3.7,805301.5576530619
20140220,1.4,-3.0,7.7,0.0,4.4,1.4,340.0,-4.5,66.1,1019.2,1028.0,8.0,13.8,0.0,2.5,1.8,2.0,805260.5808882703
20140221,1.0,-4.7,7.9,0.0,3.0,1.1,340.0,-7.7,57.1,1022.0,1030.8,10.0,17.93,0.0,0.0,0.0,3.0,805182.3417227294
20140222,1.9,-4.5,8.7,0.0,2.6,0.9,320.0,-5.7,60.4,1022.9,1031.7,8.8,15.59,0.0,0.5,0.0,2.6,807043.9209145545
20140223,3.2,-3.5,10.8,0.0,2.3,0.8,340.0,-5.5,56.8,1022.5,1031.2,8.6,14.8,0.0,0.0,0.0,3.5,805539.1250313494
20140224,4.4,-2.4,11.9,0.0,3.2,1.1,340.0,-3.0,60.6,1021.1,1029.8,7.8,14.59,0.0,0.0,0.0,4.3,807826.4689868098
20140225,6.0,-1.5,13.6,0.0,2.4,0.9,320.0,-1.3,62.1,1020.2,1028.8,7.4,14.56,0.0,2.3,0.0,5.4,807094.910566643
20140226,6.4,1.5,12.3,0.0,6.1,1.5,110.0,1.2,71.3,1015.9,1024.4,0.0,7.38,0.0,7.1,5.0,5.2,805616.4993003919
20140227,9.1,3.8,15.6,0.0,3.0,1.3,200.0,3.5,70.5,1012.0,1020.4,4.8,12.46,0.0,7.3,3.6,9.4,806740.161712938
20140228,8.4,2.7,14.5,0.0,5.5,1.7,110.0,2.6,68.6,1013.2,1021.6,6.1,13.95,0.0,7.8,4.8,9.6,804771.0596800605
20140301,7.9,4.4,10.7,0.0,3.9,1.3,180.0,2.5,68.9,1010.3,1018.8,0.0,5.6,0.0,8.8,4.4,8.5,775202.7329691174
20140302,5.1,1.0,11.5,0.0,5.2,1.7,340.0,-4.9,53.5,1013.0,1021.5,9.6,19.37,0.0,2.5,0.5,6.6,775028.2659291283
20140303,4.8,-2.8,12.9,0.0,3.8,1.0,320.0,-8.4,42.8,1018.4,1027.0,10.5,19.62,0.0,0.0,0.0,6.5,774640.2936474255
20140304,5.3,-1.2,11.8,0.0,3.8,1.2,340.0,-4.8,50.0,1014.5,1023.1,3.8,12.18,0.0,4.0,0.0,4.9,775621.20459433
20140305,2.9,-1.3,8.0,0.0,6.1,2.9,320.0,-9.4,45.0,1015.2,1023.8,10.3,21.31,0.0,1.5,1.5,6.7,774842.2331313988
20140306,1.2,-3.8,6.7,0.0,5.5,1.9,320.0,-10.4,45.1,1019.2,1027.9,10.1,18.53,0.0,1.6,0.9,3.6,774879.1827622362
20140307,0.9,-4.3,7.2,0.0,5.8,2.2,320.0,-12.9,39.3,1021.8,1030.6,10.6,21.4,0.0,2.3,0.0,4.6,774421.9515943049
20140308,2.7,-3.2,8.7,0.0,4.8,1.5,230.0,-6.5,52.0,1016.9,1025.6,8.7,15.04,0.0,5.5,1.0,5.4,773930.7866093623
20140309,2.3,-2.0,6.6,3.4,5.9,2.8,320.0,-4.4,65.3,1013.2,1021.8,6.8,13.62,0.0,4.8,3.5,4.8,776455.0580843088
20140310,2.5,-4.5,10.1,0.0,3.2,1.7,200.0,-7.1,51.8,1018.5,1027.2,11.1,22.1,0.0,0.0,0.0,4.9,778629.9415157847
20140311,5.3,-3.2,13.8,0.0,5.7,1.7,180.0,-8.3,46.8,1018.0,1026.6,10.2,19.99,0.0,0.0,0.0,6.1,775651.4849614779
20140312,4.1,0.1,6.2,33.3,1.8,0.6,340.0,1.7,85.9,1009.2,1017.8,0.0,2.44,0.0,8.5,5.1,3.6,776862.7894346898
20140313,4.1,1.8,6.2,7.1,4.8,1.5,360.0,3.3,94.8,1005.1,1013.6,0.0,3.22,0.0,9.8,7.1,5.1,775799.3171836841
20140314,3.8,0.1,9.1,0.4,3.9,1.4,320.0,-1.3,72.3,1011.3,1019.9,9.0,17.77,0.0,4.1,3.9,5.7,774067.230995931
20140315,7.6,0.0,13.9,0.0,4.6,2.1,230.0,0.5,63.3,1012.0,1020.5,10.1,20.85,0.0,0.0,0.0,6.6,774203.6393645261
20140316,12.2,7.6,18.6,0.0,4.8,2.3,140.0,4.8,62.3,1012.9,1021.2,9.8,18.29,0.0,0.5,0.0,10.7,775503.4830980361
20140317,13.1,4.0,21.9,0.0,4.1,1.7,200.0,7.9,73.6,1009.8,1018.1,8.2,18.09,0.0,5.1,2.9,13.2,774963.7894789664
20140318,13.4,9.3,18.2,0.1,4.8,2.3,320.0,7.6,69.9,1007.0,1015.2,8.1,18.91,0.0,5.9,3.0,14.4,775727.3809746137
20140319,10.8,7.8,14.0,0.0,6.4,2.6,110.0,4.7,67.1,1008.5,1016.8,0.4,8.68,0.0,8.9,3.3,10.6,775477.835333202
20140320,7.1,2.3,10.3,0.9,8.0,2.3,320.0,2.3,73.8,1005.8,1014.2,5.2,11.52,0.0,7.9,6.0,8.2,777979.3176853302
20140321,5.5,0.3,11.2,0.0,4.6,1.9,320.0,-3.1,58.8,1012.5,1021.1,11.2,21.74,0.0,1.0,1.0,8.5,776318.0179989975
20140322,8.6,-0.2,16.4,0.0,5.5,1.9,200.0,0.7,60.1,1015.8,1024.2,11.3,22.52,0.0,0.0,0.0,10.2,774716.7655982224
20140323,10.3,3.4,17.7,0.0,5.5,1.8,200.0,0.6,57.4,1019.8,1028.3,10.5,22.15,0.0,0.0,0.0,11.6,774941.3203336208
20140324,10.6,1.0,17.4,0.0,5.5,1.6,180.0,1.3,56.9,1014.7,1023.1,8.9,19.48,0.0,4.8,3.4,11.8,775649.2289046879
20140325,14.9,13.2,18.9,4.8,3.1,1.0,200.0,10.9,78.5,1006.9,1015.1,1.3,8.37,0.0,10.0,6.1,14.8,777924.7999181084
20140326,14.9,11.9,20.7,9.8,3.3,1.1,340.0,11.9,84.0,1002.4,1010.5,3.3,11.26,0.0,6.0,4.1,15.1,776373.8485039558
20140327,13.5,7.6,20.8,0.0,4.0,2.0,200.0,8.8,76.1,1009.1,1017.3,7.1,18.12,0.0,2.9,2.9,14.4,776294.8421062769
20140328,17.4,9.4,25.7,0.0,4.3,1.3,200.0,7.8,60.4,1008.6,1016.7,8.7,21.73,0.0,4.4,2.4,17.4,775990.9225229428
20140329,14.8,13.7,17.0,4.5,3.8,1.0,340.0,12.4,87.0,1000.4,1008.6,0.0,3.76,0.0,9.8,6.5,14.7,775434.5878304698
20140330,14.5,11.6,19.1,2.9,3.6,1.6,340.0,9.7,75.4,1001.5,1009.7,7.7,16.06,0.0,5.1,4.4,15.5,775104.0987481305
20140331,13.7,7.8,20.5,0.0,2.7,1.0,270.0,6.7,66.6,1008.4,1016.7,7.7,18.21,0.0,3.4,0.3,14.2,775023.4845530875
20140401,14.8,6.1,23.7,0.0,3.0,1.0,320.0,2.5,50.4,1007.9,1016.1,10.7,23.04,0.0,1.1,0.0,15.5,749288.0029344484
20140402,15.8,7.5,24.1,0.0,3.2,1.0,320.0,1.8,42.6,1008.5,1016.7,10.5,22.08,0.0,2.3,0.4,16.5,748057.61858838
20140403,11.6,5.0,20.7,2.5,6.2,1.7,320.0,2.7,57.8,1005.3,1013.6,7.0,17.06,0.0,6.4,1.9,14.7,748171.012059964
20140404,7.3,1.8,13.6,0.0,5.2,2.1,340.0,-3.0,52.6,1005.2,1013.6,12.1,25.2,0.0,1.9,1.5,12.2,749077.4318647144
20140405,5.7,0.3,12.1,0.0,6.1,1.9,320.0,-1.7,61.3,1006.8,1015.3,7.3,16.15,0.0,3.5,3.5,8.5,750092.9886044397
20140406,8.0,1.7,15.0,0.0,5.3,2.5,320.0,-4.0,47.0,1012.4,1020.9,12.2,26.9,0.0,0.6,0.0,11.6,749787.2298927745
20140407,11.6,5.8,19.5,0.0,5.5,2.6,180.0,2.6,56.5,1011.0,1019.4,10.8,23.49,0.0,3.8,0.0,14.2,750320.4639200645
20140408,12.7,2.9,21.6,0.0,2.9,1.0,340.0,-0.2,47.1,1009.8,1018.1,11.7,25.41,0.0,0.0,0.0,16.2,750392.1474842496
20140409,13.7,5.6,22.6,0.0,4.6,1.5,180.0,5.8,63.0,1008.8,1017.1,11.3,24.43,0.0,0.0,0.0,17.6,749098.691399963
20140410,14.4,8.0,22.1,0.0,4.4,1.5,110.0,7.6,66.9,1010.5,1018.7,7.9,20.44,0.0,5.3,3.0,17.2,748945.1708051721
20140411,14.3,10.2,19.5,0.0,4.1,1.7,110.0,6.7,60.8,1011.1,1019.3,1.9,13.73,0.0,8.6,3.8,17.1,748838.9466352367
20140412,15.1,11.7,19.8,0.5,3.3,1.2,110.0,9.9,72.5,1009.3,1017.5,2.3,11.28,0.0,9.5,3.6,15.8,749033.4341835454
20140413,15.4,11.6,21.7,0.0,5.3,1.5,110.0,6.7,60.1,1008.9,1017.1,6.0,15.14,0.0,5.8,3.3,17.3,748150.2478620033
20140414,15.3,5.4,24.6,0.0,3.4,1.3,230.0,3.7,50.3,1012.1,1020.4,10.1,23.81,0.0,0.1,0.1,18.8,750114.6605161995
20140415,16.0,8.5,24.5,0.0,5.5,2.1,200.0,9.7,69.1,1011.4,1019.6,9.3,22.95,0.0,3.0,0.0,19.9,750000.2059496345
20140416,17.5,11.9,24.4,0.0,5.0,2.3,200.0,7.3,56.9,1007.7,1015.8,9.1,21.76,0.0,4.6,0.0,20.8,749696.766082652
20140417,13.6,6.5,21.7,14.9,4.5,1.1,320.0,6.0,66.6,1005.4,1013.6,5.0,12.81,0.0,6.9,4.3,16.1,750963.5411216854
20140418,15.9,12.0,20.9,0.0,3.8,1.7,360.0,11.0,74.8,1007.4,1015.6,6.7,18.75,0.0,5.9,4.1,18.0,749333.9984318202
20140419,13.8,11.0,18.3,0.0,6.2,3.8,110.0,7.0,65.1,1011.7,1020.0,3.4,14.89,0.0,7.4,3.0,15.3,750839.7250778227
20140420,15.1,9.4,22.2,0.0,6.0,2.5,140.0,5.5,54.4,1009.6,1017.8,10.8,26.43,0.0,4.6,1.5,18.9,750953.0309272882
20140421,15.6,8.9,22.6,0.0,4.4,1.4,320.0,4.9,53.9,1007.4,1015.6,10.7,23.72,0.0,3.1,0.5,18.3,749510.8345755194
20140422,15.1,8.1,22.9,0.0,4.1,1.3,320.0,2.8,49.3,1007.6,1015.8,8.3,24.05,0.0,3.3,0.1,17.3,749074.140184343
20140423,16.5,6.9,25.0,0.0,3.0,1.2,290.0,5.0,51.3,1010.1,1018.3,10.8,24.98,0.0,0.1,0.1,20.2,749035.990884028
20140424,18.4,9.8,26.7,0.0,4.0,1.2,320.0,6.8,52.4,1013.2,1021.3,10.3,24.67,0.0,1.0,0.8,22.3,749090.2643674281
20140425,18.5,10.1,27.2,0.0,3.4,1.1,320.0,4.9,45.5,1014.9,1023.1,11.1,25.25,0.0,0.0,0.0,22.0,748947.40875381
20140426,17.8,11.1,24.0,0.0,2.5,0.9,320.0,8.9,57.4,1014.7,1022.8,2.6,14.62,0.0,7.9,3.3,19.9,749860.9290930611
20140427,15.4,13.4,18.1,9.1,3.1,1.0,20.0,13.9,91.4,1011.9,1020.2,0.0,5.68,0.0,10.0,6.5,16.5,749007.7601312285
20140428,13.5,12.5,15.0,24.2,6.6,3.1,70.0,11.9,90.9,1004.7,1012.9,0.0,2.52,0.0,10.0,7.0,13.6,749889.5884690075
20140429,14.3,11.8,17.1,8.2,4.0,1.4,340.0,12.7,90.8,1000.7,1008.8,0.1,8.35,0.0,9.7,7.6,15.2,749504.8535777255
20140430,15.7,9.9,20.3,0.0,2.6,1.2,200.0,11.1,75.6,1001.9,1010.0,5.0,17.0,0.0,4.0,3.8,18.3,749877.5716564584
20140501,16.4,10.1,23.3,0.0,4.2,1.7,200.0,9.7,66.8,1006.1,1014.2,11.6,26.77,0.0,0.1,0.1,19.8,741844.810932234
20140502,16.7,9.2,25.8,0.0,4.5,1.9,290.0,9.7,66.6,1005.7,1013.9,9.6,23.61,0.0,4.9,2.4,20.3,741475.9714454352
20140503,14.6,8.4,21.4,0.0,4.1,2.0,340.0,2.9,49.9,1011.0,1019.2,12.9,30.72,0.0,0.4,0.4,19.8,741283.3741073769
20140504,12.7,7.4,21.0,2.2,6.5,1.6,270.0,6.1,68.4,1007.8,1016.1,2.5,15.32,0.0,7.9,1.8,15.6,741166.3275059258
20140505,11.4,5.7,17.4,0.0,6.1,2.6,320.0,1.6,56.3,1010.0,1018.4,12.9,30.46,0.0,1.8,0.9,16.2,740948.8211639766
20140506,13.7,6.7,19.7,0.0,4.7,1.9,200.0,1.9,49.4,1010.5,1018.7,13.0,30.47,0.0,0.0,0.0,19.0,740072.0766047052
20140507,16.2,6.2,24.1,0.2,10.1,2.0,270.0,3.9,48.5,1005.2,1013.3,12.5,30.21,0.0,4.0,0.9,20.7,741446.2064414502
20140508,15.7,11.2,20.9,1.8,8.5,2.3,290.0,10.3,73.1,1003.5,1011.7,9.3,23.59,0.0,4.6,4.0,20.2,740885.6763687191
20140509,16.4,9.7,23.7,0.0,3.4,1.3,20.0,8.6,64.4,1010.0,1018.2,11.0,28.1,0.0,0.0,0.0,21.6,741753.7133834466
20140510,19.7,11.0,26.7,0.0,6.3,3.1,110.0,6.5,46.0,1012.0,1020.1,12.6,30.22,0.0,0.3,0.0,24.5,740211.1221396799
20140511,18.5,14.8,23.9,17.0,6.7,4.3,110.0,9.8,60.3,1004.0,1012.0,1.7,13.34,0.0,7.9,5.3,19.8,740713.6885450081
20140512,17.5,14.7,21.5,8.7,4.5,2.7,200.0,13.4,78.9,999.1,1007.2,9.9,24.6,0.0,4.1,3.5,20.1,741416.1769916774
20140513,20.4,13.5,26.8,0.0,4.4,2.4,180.0,13.7,68.0,1000.1,1008.1,12.0,28.46,0.0,0.8,0.0,22.8,741895.3668219657
20140514,20.7,16.0,28.0,0.0,3.4,1.2,360.0,12.8,64.5,993.9,1001.8,8.8,23.86,0.0,5.4,0.0,23.4,740757.0347006797
20140515,19.1,14.9,25.1,0.0,5.7,2.2,320.0,10.4,62.1,993.8,1001.7,10.3,26.15,0.0,3.9,1.6,22.7,740310.1824124653
20140516,19.7,13.4,26.4,0.0,3.6,2.1,200.0,10.0,58.0,1001.0,1009.0,11.9,28.17,0.0,1.4,0.0,23.9,741528.354891384
20140517,20.1,13.6,26.2,0.0,3.6,1.4,180.0,11.4,60.5,1004.3,1012.3,11.4,24.45,0.0,2.8,0.0,24.0,740330.7605648894
20140518,20.6,13.3,27.7,0.0,3.6,1.5,180.0,8.2,49.5,1005.2,1013.2,12.0,28.33,0.0,2.9,0.0,25.1,741024.4086390681
20140519,20.6,12.1,28.3,0.0,3.4,1.3,320.0,9.1,52.0,1004.3,1012.3,9.6,26.71,0.0,4.1,0.0,25.5,742493.9186920973
20140520,19.5,16.7,23.7,0.0,2.6,0.8,320.0,13.6,70.0,998.8,1006.8,2.0,10.56,0.0,7.1,1.4,20.7,741450.8415026679
20140521,18.9,13.9,25.6,0.0,4.6,1.6,200.0,13.9,74.8,999.6,1007.5,9.8,23.27,0.0,2.8,2.8,23.3,741921.1275238356
20140522,21.3,13.4,29.1,0.0,4.3,2.0,180.0,13.7,66.9,1004.3,1012.3,11.4,29.38,0.0,0.5,0.5,27.7,742591.404708973
20140523,22.4,18.3,27.3,0.0,4.3,2.5,180.0,15.9,68.1,1010.0,1017.9,8.1,23.12,0.0,2.9,2.9,28.2,742985.2602049578
20140524,22.8,17.3,30.1,0.0,3.4,1.3,200.0,17.0,71.4,1008.9,1016.8,7.4,22.56,0.0,6.5,4.3,28.7,741293.1120752337
20140525,21.3,18.7,26.6,14.9,4.0,1.4,200.0,17.4,80.5,1001.0,1008.9,1.6,11.53,0.0,9.4,5.4,25.0,739772.596535387
20140526,21.4,18.0,26.0,4.9,5.2,2.5,200.0,12.3,62.0,995.6,1003.5,11.9,28.35,0.0,3.9,2.4,23.8,742490.770872707
20140527,23.7,15.4,29.9,0.0,6.0,2.4,200.0,9.4,41.4,993.5,1001.3,12.5,27.77,0.0,1.0,0.0,24.8,741180.9913079798
20140528,23.8,19.2,28.8,0.0,4.9,2.2,180.0,15.0,59.3,993.0,1000.7,10.4,25.74,0.0,2.3,1.8,26.7,740910.0868224766
20140529,23.9,16.9,31.6,0.0,4.8,1.7,180.0,15.2,62.0,999.4,1007.3,11.7,29.5,0.0,0.5,0.5,28.7,741233.1995790895
20140530,24.6,15.5,32.4,0.0,4.5,1.4,340.0,12.5,51.5,1002.5,1010.4,13.3,30.39,0.0,0.0,0.0,29.8,741110.3771840719
20140531,25.6,17.4,33.3,0.0,4.4,1.6,200.0,14.8,54.1,1004.9,1012.8,12.2,28.57,0.0,0.0,0.0,30.8,741454.1347008995
20140601,23.7,18.4,28.9,0.0,2.3,0.8,320.0,16.9,67.5,1004.2,1012.0,0.6,14.91,0.0,7.9,3.8,26.6,718748.5201341526
20140602,21.6,19.2,24.8,1.2,8.2,2.6,110.0,16.2,73.1,999.2,1007.1,0.0,5.8,0.0,9.9,5.6,21.8,717689.0956359733
20140603,19.5,17.4,21.5,45.2,5.9,3.1,110.0,17.8,90.6,997.5,1005.5,0.6,7.56,0.0,10.0,6.6,20.3,715993.8982655597
20140604,22.3,19.8,26.5,0.0,5.6,3.1,90.0,17.1,73.1,996.9,1004.8,2.4,13.58,0.0,9.1,8.4,23.5,717224.6960030255
20140605,21.9,19.8,24.7,0.0,5.7,2.3,70.0,16.4,71.5,996.6,1004.5,2.1,10.36,0.0,7.5,7.5,21.1,717498.9645214407
20140606,23.2,16.8,29.1,0.0,3.6,1.2,320.0,17.1,70.8,997.0,1004.8,11.9,28.7,0.0,3.1,3.1,27.4,717679.5737837659
20140607,23.4,18.4,28.4,0.0,3.5,1.1,200.0,18.0,72.8,997.1,1004.9,6.5,19.29,0.0,5.8,3.3,26.5,717167.4712114084
20140608,22.8,19.5,27.1,0.1,4.1,2.0,200.0,18.0,75.8,998.9,1006.8,7.4,24.74,0.0,7.6,6.0,27.9,717619.1475325244
20140609,22.3,19.4,28.1,9.3,6.3,1.2,320.0,19.3,84.8,1001.6,1009.5,6.1,17.28,0.0,6.4,6.0,26.9,717241.4409041968
20140610,22.3,18.6,27.6,27.6,5.5,2.4,110.0,18.8,82.0,1001.7,1009.6,6.8,19.79,0.0,6.3,5.5,25.2,718137.2978430563
20140611,21.9,17.8,26.5,5.2,3.4,1.6,360.0,17.5,77.9,998.0,1005.9,9.0,24.11,0.0,7.0,6.4,25.5,718219.0176620758
20140612,19.7,16.5,25.7,37.6,9.2,1.4,230.0,17.2,86.9,994.7,1002.6,7.1,19.02,0.0,6.6,6.5,24.9,718731.576764973
20140613,20.7,16.8,24.9,0.1,5.2,2.0,200.0,18.0,85.9,996.7,1004.6,7.9,18.24,0.0,6.0,5.5,22.2,716829.2298570136
