date,평균기온(°C),최저기온(°C),최고기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C),elec
20140320,7.1,2.3,10.3,2.3,1005.8,1014.2,11.52,8.2,777979.3176853302
20140321,5.5,0.3,11.2,-3.1,1012.5,1021.1,21.74,8.5,776318.0179989975
20140322,8.6,-0.2,16.4,0.7,1015.8,1024.2,22.52,10.2,774716.7655982224
20140323,10.3,3.4,17.7,0.6,1019.8,1028.3,22.15,11.6,774941.3203336208
20140324,10.6,1.0,17.4,1.3,1014.7,1023.1,19.48,11.8,775649.2289046879
20140325,14.9,13.2,18.9,10.9,1006.9,1015.1,8.37,14.8,777924.7999181084
20140326,14.9,11.9,20.7,11.9,1002.4,1010.5,11.26,15.1,776373.8485039558
20140327,13.5,7.6,20.8,8.8,1009.1,1017.3,18.12,14.4,776294.8421062769
20140328,17.4,9.4,25.7,7.8,1008.6,1016.7,21.73,17.4,775990.9225229428
20140329,14.8,13.7,17.0,12.4,1000.4,1008.6,3.76,14.7,775434.5878304698
20140330,14.5,11.6,19.1,9.7,1001.5,1009.7,16.06,15.5,775104.0987481305
20140331,13.7,7.8,20.5,6.7,1008.4,1016.7,18.21,14.2,775023.4845530875
20140401,14.8,6.1,23.7,2.5,1007.9,1016.1,23.04,15.5,749288.0029344484
20140402,15.8,7.5,24.1,1.8,1008.5,1016.7,22.08,16.5,748057.61858838
20140403,11.6,5.0,20.7,2.7,1005.3,1013.6,17.06,14.7,748171.012059964
20140404,7.3,1.8,13.6,-3.0,1005.2,1013.6,25.2,12.2,749077.4318647144
20140405,5.7,0.3,12.1,-1.7,1006.8,1015.3,16.15,8.5,750092.9886044397
20140406,8.0,1.7,15.0,-4.0,1012.4,1020.9,26.9,11.6,749787.2298927745
20140407,11.6,5.8,19.5,2.6,1011.0,1019.4,23.49,14.2,750320.4639200645
20140408,12.7,2.9,21.6,-0.2,1009.8,1018.1,25.41,16.2,750392.1474842496
20140409,13.7,5.6,22.6,5.8,1008.8,1017.1,24.43,17.6,749098.691399963
20140410,14.4,8.0,22.1,7.6,1010.5,1018.7,20.44,17.2,748945.1708051721
20140411,14.3,10.2,19.5,6.7,1011.1,1019.3,13.73,17.1,748838.9466352367
20140412,15.1,11.7,19.8,9.9,1009.3,1017.5,11.28,15.8,749033.4341835454
20140413,15.4,11.6,21.7,6.7,1008.9,1017.1,15.14,17.3,748150.2478620033
20140414,15.3,5.4,24.6,3.7,1012.1,1020.4,23.81,18.8,750114.6605161995
20140415,16.0,8.5,24.5,9.7,1011.4,1019.6,22.95,19.9,750000.2059496345
20140416,17.5,11.9,24.4,7.3,1007.7,1015.8,21.76,20.8,749696.766082652
20140417,13.6,6.5,21.7,6.0,1005.4,1013.6,12.81,16.1,750963.5411216854
20140418,15.9,12.0,20.9,11.0,1007.4,1015.6,18.75,18.0,749333.9984318202
20140419,13.8,11.0,18.3,7.0,1011.7,1020.0,14.89,15.3,750839.7250778227
20140420,15.1,9.4,22.2,5.5,1009.6,1017.8,26.43,18.9,750953.0309272881
20140421,15.6,8.9,22.6,4.9,1007.4,1015.6,23.72,18.3,749510.8345755194
20140422,15.1,8.1,22.9,2.8,1007.6,1015.8,24.05,17.3,749074.140184343
20140423,16.5,6.9,25.0,5.0,1010.1,1018.3,24.98,20.2,749035.990884028
20140424,18.4,9.8,26.7,6.8,1013.2,1021.3,24.67,22.3,749090.2643674281
20140425,18.5,10.1,27.2,4.9,1014.9,1023.1,25.25,22.0,748947.40875381
20140426,17.8,11.1,24.0,8.9,1014.7,1022.8,14.62,19.9,749860.9290930611
20140427,15.4,13.4,18.1,13.9,1011.9,1020.2,5.68,16.5,749007.7601312285
20140428,13.5,12.5,15.0,11.9,1004.7,1012.9,2.52,13.6,749889.5884690075
20140429,14.3,11.8,17.1,12.7,1000.7,1008.8,8.35,15.2,749504.8535777255
20140430,15.7,9.9,20.3,11.1,1001.9,1010.0,17.0,18.3,749877.5716564584
20140501,16.4,10.1,23.3,9.7,1006.1,1014.2,26.77,19.8,741844.810932234
20140502,16.7,9.2,25.8,9.7,1005.7,1013.9,23.61,20.3,741475.9714454352
20140503,14.6,8.4,21.4,2.9,1011.0,1019.2,30.72,19.8,741283.3741073769
20140504,12.7,7.4,21.0,6.1,1007.8,1016.1,15.32,15.6,741166.3275059258
20140505,11.4,5.7,17.4,1.6,1010.0,1018.4,30.46,16.2,740948.8211639766
20140506,13.7,6.7,19.7,1.9,1010.5,1018.7,30.47,19.0,740072.0766047052
20140507,16.2,6.2,24.1,3.9,1005.2,1013.3,30.21,20.7,741446.2064414502
20140508,15.7,11.2,20.9,10.3,1003.5,1011.7,23.59,20.2,740885.6763687191
20140509,16.4,9.7,23.7,8.6,1010.0,1018.2,28.1,21.6,741753.7133834466
20140510,19.7,11.0,26.7,6.5,1012.0,1020.1,30.22,24.5,740211.1221396799
20140511,18.5,14.8,23.9,9.8,1004.0,1012.0,13.34,19.8,740713.6885450081
20140512,17.5,14.7,21.5,13.4,999.1,1007.2,24.6,20.1,741416.1769916774
20140513,20.4,13.5,26.8,13.7,1000.1,1008.1,28.46,22.8,741895.3668219657
20140514,20.7,16.0,28.0,12.8,993.9,1001.8,23.86,23.4,740757.0347006797
20140515,19.1,14.9,25.1,10.4,993.8,1001.7,26.15,22.7,740310.1824124653
20140516,19.7,13.4,26.4,10.0,1001.0,1009.0,28.17,23.9,741528.354891384
20140517,20.1,13.6,26.2,11.4,1004.3,1012.3,24.45,24.0,740330.7605648894
20140518,20.6,13.3,27.7,8.2,1005.2,1013.2,28.33,25.1,741024.4086390681
20140519,20.6,12.1,28.3,9.1,1004.3,1012.3,26.71,25.5,742493.9186920973
20140520,19.5,16.7,23.7,13.6,998.8,1006.8,10.56,20.7,741450.841502668
20140521,18.9,13.9,25.6,13.9,999.6,1007.5,23.27,23.3,741921.1275238356
20140522,21.3,13.4,29.1,13.7,1004.3,1012.3,29.38,27.7,742591.404708973
20140523,22.4,18.3,27.3,15.9,1010.0,1017.9,23.12,28.2,742985.2602049578
20140524,22.8,17.3,30.1,17.0,1008.9,1016.8,22.56,28.7,741293.1120752337
20140525,21.3,18.7,26.6,17.4,1001.0,1008.9,11.53,25.0,739772.596535387
20140526,21.4,18.0,26.0,12.3,995.6,1003.5,28.35,23.8,742490.770872707
20140527,23.7,15.4,29.9,9.4,993.5,1001.3,27.77,24.8,741180.9913079798
20140528,23.8,19.2,28.8,15.0,993.0,1000.7,25.74,26.7,740910.0868224766
20140529,23.9,16.9,31.6,15.2,999.4,1007.3,29.5,28.7,741233.1995790895
20140530,24.6,15.5,32.4,12.5,1002.5,1010.4,30.39,29.8,741110.3771840719
20140531,25.6,17.4,33.3,14.8,1004.9,1012.8,28.57,30.8,741454.1347008995
20140601,23.7,18.4,28.9,16.9,1004.2,1012.0,14.91,26.6,718748.5201341526
20140602,21.6,19.2,24.8,16.2,999.2,1007.1,5.8,21.8,717689.0956359733
20140603,19.5,17.4,21.5,17.8,997.5,1005.5,7.56,20.3,715993.8982655597
20140604,22.3,19.8,26.5,17.1,996.9,1004.8,13.58,23.5,717224.6960030255
20140605,21.9,19.8,24.7,16.4,996.6,1004.5,10.36,21.1,717498.9645214407
20140606,23.2,16.8,29.1,17.1,997.0,1004.8,28.7,27.4,717679.5737837659
20140607,23.4,18.4,28.4,18.0,997.1,1004.9,19.29,26.5,717167.4712114084
20140608,22.8,19.5,27.1,18.0,998.9,1006.8,24.74,27.9,717619.1475325244
20140609,22.3,19.4,28.1,19.3,1001.6,1009.5,17.28,26.9,717241.4409041968
20140610,22.3,18.6,27.6,18.8,1001.7,1009.6,19.79,25.2,718137.2978430563
20140611,21.9,17.8,26.5,17.5,998.0,1005.9,24.11,25.5,718219.0176620758
20140612,19.7,16.5,25.7,17.2,994.7,1002.6,19.02,24.9,718731.576764973
20140613,20.7,16.8,24.9,18.0,996.7,1004.6,18.24,22.2,716829.2298570136
20140614,22.1,17.0,27.3,17.7,999.7,1007.6,25.7,24.4,717323.7743915713
20140615,22.6,17.0,28.0,17.9,999.4,1007.3,25.69,24.6,716836.1876285537
20140616,23.3,17.4,28.4,17.6,998.4,1006.3,23.47,26.7,716036.8430855599
20140617,23.6,21.1,27.9,19.9,997.0,1004.8,15.47,25.6,715809.1896680683
20140618,24.3,18.3,30.3,16.9,996.7,1004.5,29.7,29.6,717786.8123950174
20140619,23.4,19.4,27.6,19.1,998.5,1006.3,16.15,27.8,717457.0483731844
20140620,23.1,19.1,28.4,20.3,1000.0,1007.9,16.45,27.1,717111.8183688534
20140621,21.9,19.2,25.0,18.6,1000.2,1008.1,14.75,23.7,717783.7379357972
20140622,23.9,18.7,29.4,18.7,999.2,1007.0,27.4,28.2,717363.459351621
20140623,22.5,20.3,27.1,19.7,998.5,1006.4,14.82,24.3,718307.4773569795
20140624,22.4,18.8,27.6,19.5,998.8,1006.6,18.03,24.3,717110.7146356455
20140625,23.9,18.9,28.4,19.5,1000.7,1008.5,23.72,27.2,717092.7044919522
20140626,25.2,20.3,30.5,19.5,999.4,1007.3,27.42,31.6,717263.6445019437
20140627,25.5,20.9,31.1,18.9,997.0,1004.8,27.76,32.1,718130.3254313908
20140628,25.0,21.4,30.1,18.8,995.5,1003.2,23.25,32.9,718146.6456992652
20140629,24.7,20.1,29.0,19.3,997.4,1005.2,22.3,32.6,717708.398995187
20140630,25.3,19.9,30.5,19.0,1000.7,1008.5,29.75,34.4,716490.3789190181
20140701,26.6,21.7,32.6,20.3,1002.2,1010.0,29.17,36.2,726083.4829824101
20140702,24.3,21.7,28.7,20.9,999.4,1007.3,11.84,28.6,725557.8435847412
20140703,21.6,19.8,23.9,20.7,993.3,1001.2,6.69,23.0,724390.5025613117
20140704,25.4,20.8,30.4,21.3,998.6,1006.3,23.03,28.0,725728.1784097789
20140705,25.5,22.1,28.9,21.3,1002.4,1010.2,16.83,27.0,726778.9635961137
20140706,22.0,20.8,24.2,19.8,998.8,1006.7,7.42,22.9,726811.7940177461
20140707,25.1,19.9,29.5,21.4,998.0,1005.8,22.01,27.6,726560.4180624967
20140708,27.0,23.1,31.3,23.3,998.9,1006.7,21.17,31.1,726034.4193726536
20140709,26.9,24.4,29.7,24.8,993.7,1001.4,14.07,31.5,725954.2180165119
20140710,28.0,24.4,32.8,22.3,988.3,995.9,27.1,33.4,725711.0829297961
20140711,26.7,23.0,32.3,20.5,993.7,1001.4,26.11,30.8,726303.7813656116
20140712,24.8,22.1,28.1,21.2,996.4,1004.2,11.93,27.5,725801.5962431735
20140713,24.4,21.2,28.8,21.5,995.9,1003.7,18.31,26.8,725320.4552893689
20140714,25.9,21.9,31.1,21.4,1000.4,1008.2,22.84,29.5,726421.5778853792
20140715,25.3,22.1,28.7,22.3,1002.5,1010.3,11.56,26.6,726309.718719702
20140716,26.3,22.6,30.8,21.8,1002.6,1010.4,19.27,32.5,726091.522465134
20140717,24.6,22.9,27.0,22.4,1003.9,1011.8,8.92,25.4,726590.1737530702
20140718,24.8,20.3,29.4,23.1,1004.5,1012.4,17.69,27.4,726139.4880691938
20140719,26.9,24.6,30.9,24.7,1004.6,1012.4,16.62,28.0,726780.8160253323
20140720,27.9,24.0,33.0,23.8,1003.2,1011.0,25.85,31.5,726640.1486042123
20140721,27.8,25.3,31.9,23.8,1001.1,1008.9,19.25,31.4,725481.8899370164
20140722,26.9,24.5,29.9,23.4,999.9,1007.6,18.32,30.2,726236.0751942972
20140723,26.3,25.1,28.8,24.2,998.3,1006.0,6.37,26.2,726797.9838860075
20140724,27.4,25.6,30.7,25.9,998.5,1006.2,18.1,29.6,725152.7015572689
20140725,29.9,25.1,34.9,24.7,997.3,1005.0,23.77,33.1,725850.5414232877
20140726,24.8,21.6,28.8,21.2,1000.8,1008.7,9.66,24.6,725081.4372862279
20140727,24.7,19.3,30.5,20.0,1003.0,1010.9,27.88,30.9,725436.0445450515
20140728,25.2,20.5,30.3,21.2,1001.2,1009.0,17.18,28.0,726730.878456163
20140729,24.3,20.6,29.2,22.0,1001.9,1009.8,17.31,27.6,726275.9732592505
20140730,28.6,23.1,34.2,24.3,1002.8,1010.5,25.06,30.6,726277.6970309186
20140731,27.3,24.2,34.0,24.9,1002.4,1010.2,21.45,27.7,724790.018405556
20140801,27.9,23.2,31.8,23.8,999.4,1007.1,16.48,29.6,774899.3929339972
20140802,27.4,23.8,31.2,23.6,993.3,1000.9,14.2,28.5,776675.2460591737
20140803,26.2,24.3,27.7,24.6,988.0,995.7,6.5,26.2,776782.0240418931
20140804,25.6,24.4,27.3,25.1,991.6,999.4,8.12,27.9,775517.9753911679
20140805,27.0,24.6,31.0,24.4,997.0,1004.7,19.87,30.1,775388.4410069623
20140806,26.0,24.0,28.7,23.8,998.3,1006.1,8.2,27.6,775300.0668265253
20140807,21.5,20.3,24.0,21.3,999.2,1007.1,3.23,22.8,775029.0174258798
20140808,23.5,19.8,26.5,20.3,1000.2,1008.1,15.44,25.8,774616.7494284204
20140809,25.8,22.9,29.8,19.8,997.4,1005.2,20.49,30.1,775731.7665017471
20140810,23.5,21.2,27.3,20.8,992.5,1000.3,10.18,25.6,773726.2577149944
20140811,23.6,18.7,28.6,20.0,994.7,1002.5,22.94,26.7,775698.6906562098
20140812,25.1,19.4,30.3,21.1,997.3,1005.0,25.88,30.1,776466.4364812181
20140813,23.2,21.0,26.1,22.3,1001.0,1008.8,4.69,24.6,776118.6167657779
20140814,20.9,19.7,21.9,20.5,1001.5,1009.5,5.29,22.7,776706.6128892391
20140815,24.2,20.6,28.7,22.5,1000.7,1008.5,16.11,28.4,776719.2222378312
20140816,26.0,22.2,30.5,22.1,1002.4,1010.2,20.06,30.7,775756.9378454974
20140817,22.7,20.7,26.6,21.7,1004.3,1012.2,5.58,23.9,775022.2486493682
20140818,21.6,19.8,23.5,21.2,1001.2,1009.1,5.23,22.8,775587.9529172775
20140819,24.0,22.0,27.4,22.9,1002.3,1010.2,9.74,26.5,774752.5800960412
20140820,24.0,22.3,26.7,22.8,1002.9,1010.8,7.86,26.1,775811.18157918
20140821,23.1,21.4,26.9,22.6,999.5,1007.4,4.78,23.3,776256.0000635927
20140822,24.5,21.5,28.6,21.9,1003.3,1011.1,17.6,27.1,775878.5578160895
20140823,24.5,21.0,29.4,21.5,1002.5,1010.4,20.77,27.9,776458.2465556164
20140824,24.6,21.5,28.0,22.6,1001.0,1008.8,10.2,25.9,777720.0207182609
20140825,23.2,22.4,24.5,22.8,999.4,1007.2,4.42,24.4,775337.1697210806
20140826,25.2,22.1,29.2,22.5,1003.1,1010.9,16.25,27.2,774470.4258234433
20140827,23.8,20.9,27.0,20.4,1007.2,1015.1,14.85,28.1,777112.4439287271
20140828,23.9,20.4,28.5,19.7,1008.6,1016.5,23.18,28.4,775932.3360703551
20140829,23.5,19.4,28.3,18.9,1007.7,1015.6,23.86,28.0,777289.4418467152
20140830,23.5,18.8,28.5,18.0,1006.9,1014.9,25.01,28.3,775048.7985025856
20140831,22.2,18.6,26.7,16.9,1006.0,1014.0,16.94,25.0,775822.4049374755
20140901,23.4,17.4,29.2,17.9,1006.2,1014.1,25.33,28.6,807113.2630655988
20140902,21.7,19.4,24.7,18.6,1003.8,1011.7,9.32,24.2,804852.4064186892
20140903,22.3,19.5,26.8,20.4,995.8,1003.6,7.3,22.0,804054.6016230859
20140904,23.2,20.1,28.1,19.6,1000.8,1008.7,16.08,25.4,806825.7698166046
20140905,23.0,17.3,29.1,18.9,1005.0,1013.0,23.64,26.6,804685.0720954066
20140906,23.5,19.6,30.1,19.7,1004.3,1012.2,19.04,26.5,805638.4370997217
20140907,24.1,17.7,31.1,19.9,1001.1,1008.9,20.72,28.3,806463.3690573466
20140908,24.0,19.9,29.8,21.0,999.3,1007.2,17.93,25.3,806560.7413854302
20140909,22.4,18.1,27.2,18.3,1000.6,1008.5,13.82,25.4,807197.6528250206
20140910,20.6,14.2,27.2,14.8,1003.0,1011.0,24.45,25.6,805927.7437725666
20140911,21.7,15.6,28.5,16.8,1005.1,1013.1,21.62,26.2,805645.4440633368
20140912,21.5,18.4,25.1,18.7,1005.9,1013.9,9.03,23.6,807435.8805614249
20140913,22.8,18.0,27.7,17.1,1006.9,1014.8,21.1,26.5,805313.3932148307
20140914,22.2,16.7,27.6,16.1,1007.5,1015.5,22.15,26.8,804621.6289188755
20140915,22.5,19.0,27.1,17.6,1005.9,1013.9,14.42,25.9,805549.8249947813
20140916,21.5,17.0,27.3,13.7,1007.4,1015.4,21.13,26.0,806306.9923076674
20140917,19.9,17.1,24.7,14.1,1008.3,1016.3,11.98,23.6,804965.7254527209
20140918,20.1,15.8,25.0,15.2,1009.3,1017.3,15.87,24.0,806575.1765933802
20140919,20.1,13.6,27.7,11.6,1006.9,1014.9,24.34,25.5,807133.722960967
20140920,20.0,12.9,27.5,12.6,1006.3,1014.4,21.98,25.7,804197.3081910837
20140921,20.7,15.1,27.1,14.6,1009.3,1017.4,20.65,25.7,805703.8596132245
20140922,21.5,14.8,28.7,14.6,1010.6,1018.6,21.88,26.8,806283.7510839025
20140923,22.3,16.5,29.1,16.7,1009.1,1017.1,18.54,25.6,806933.4541553417
20140924,18.2,16.6,19.4,17.9,1000.8,1008.8,3.77,19.7,807134.8492554495
20140925,20.4,15.8,26.9,17.5,1005.7,1013.7,20.09,22.0,806834.8796817663
20140926,21.4,18.4,26.0,17.3,1008.6,1016.6,14.78,22.5,805169.677933911
20140927,21.2,17.0,25.7,17.6,1009.3,1017.3,14.36,22.1,805744.6484003565
20140928,21.1,16.8,26.4,18.2,1007.9,1015.9,14.6,22.1,806379.1970732139
20140929,20.1,18.7,21.6,19.3,1005.7,1013.7,2.69,20.7,805351.3962086262
20140930,19.7,17.1,24.2,16.9,1008.7,1016.8,11.74,21.5,805729.8157048217
20141001,19.6,16.0,24.2,15.5,1009.3,1017.3,14.42,22.1,732196.971277754
20141002,19.3,16.1,23.1,16.1,1002.7,1010.7,9.58,20.7,732238.6890616274
20141003,16.8,12.9,21.1,12.1,1004.9,1013.0,15.02,18.8,731492.4854750365
20141004,16.7,11.1,23.3,11.3,1011.3,1019.5,18.64,18.8,732388.7977576328
20141005,17.5,12.2,23.2,9.6,1009.7,1017.8,20.45,20.7,731587.4690572767
20141006,15.2,10.0,21.5,9.2,1010.3,1018.5,18.66,18.2,732449.2969485525
20141007,15.9,9.4,23.7,10.5,1014.0,1022.2,19.14,19.9,730728.5338420575
20141008,16.0,9.6,23.4,11.3,1014.0,1022.2,19.54,20.0,732678.0596465252
20141009,17.1,10.6,25.1,12.3,1012.7,1020.8,18.16,20.6,732702.9949600694
20141010,19.1,11.5,27.1,12.6,1013.3,1021.4,19.18,21.6,732495.4541770039
20141011,19.9,15.8,25.9,12.2,1014.6,1022.7,19.6,22.8,732749.6439206399
20141012,18.5,14.2,22.3,13.3,1009.9,1018.0,11.02,19.6,733557.6865669191
20141013,16.6,10.7,21.1,12.0,1003.4,1011.5,8.85,17.7,731509.5429810829
20141014,13.1,7.7,20.2,7.2,1009.1,1017.4,19.25,16.6,732514.3523777486
20141015,13.0,6.2,20.6,7.0,1010.4,1018.7,19.01,16.2,732525.1134200776
20141016,13.0,8.3,19.5,6.0,1011.5,1019.8,16.41,15.6,731716.5299636575
20141017,12.2,4.7,21.1,4.5,1015.4,1023.7,19.32,15.2,731912.9612264006
20141018,12.9,5.3,21.9,6.5,1016.2,1024.5,17.45,15.5,732839.498752234
20141019,14.8,6.4,22.4,9.2,1014.5,1022.7,13.83,16.1,733418.0075923811
20141020,16.8,14.4,18.3,16.5,1008.9,1017.0,1.16,16.5,732501.5574036606
20141021,15.5,11.8,17.7,15.3,1007.1,1015.3,1.23,16.2,733037.6516655538
20141022,13.2,10.6,17.3,11.3,1011.7,1019.9,10.45,14.8,732348.4506968476
20141023,12.8,7.1,20.0,9.4,1013.2,1021.5,16.64,14.8,732554.4311326387
20141024,13.8,7.9,21.1,11.1,1012.7,1021.0,15.35,15.0,731379.5503854513
20141025,13.9,8.4,23.0,10.5,1012.7,1021.0,15.3,14.7,733115.4437873276
