year,month,day,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C)
2014,2,7,2.7,-2.5,7.7,0,6,2.2,90,-3.3,64.9,1011.4,1020.1,2.9,8.29,0,7.5,4.3,1.1
2014,2,8,3,0.9,5.2,1.3,5.4,2.2,110,0.1,82,1008.6,1017.2,0,4.08,0,10,6.3,2.6
2014,2,9,-0.2,-1.4,1.7,0.1,3.8,1.3,340,-3.4,79.5,1012.8,1021.6,0.3,6.07,0,9.6,7.9,1.1
2014,2,10,0.2,-2.2,3.2,0.6,3.6,1.4,340,-3.1,79,1016.7,1025.5,2.2,7.26,1.3,7.3,6.5,1.4
2014,2,11,1.1,-3.6,6.5,0,5.7,2.9,110,-6.3,58.9,1017.6,1026.3,9.8,15.68,0,1.8,0.5,2
2014,2,12,2.6,-1.3,8.9,0,4.3,2.2,110,-5.3,57.4,1019.5,1028.2,8,15.31,0,4.8,3.3,2.6
2014,2,13,2.8,-1.4,8.2,0,4.6,1.7,110,-3.6,63.8,1021.4,1030,4.3,11.7,0,7.3,0.5,2.4
2014,2,14,2.4,-0.9,6.6,0,5,2.4,90,-3.6,65.5,1019.6,1028.3,5.8,10.5,0,5.3,3.5,1.8
2014,2,15,2.5,-3.2,9.3,0,3.2,1,320,-4.2,63.9,1018.8,1027.5,9.9,16.65,0,1,1,2.9
2014,2,16,2.8,-3.2,10.9,0,2.3,0.8,320,-3.5,65.6,1019.9,1028.6,4.6,10.14,0,6,0.3,2.7
2014,2,17,4.6,1,9.2,0,4.6,1.5,110,-1.7,64.9,1018.3,1026.9,0,7.06,0,8.5,3.8,3.2
2014,2,18,3.7,0.4,7.2,0,6,3.2,90,-4.6,55.3,1017.9,1026.6,3.5,10.77,0,5.8,1.8,3.6
2014,2,19,2.5,-2.2,8.7,0,5,1.7,110,-6.3,54,1017.9,1026.6,9.1,15.3,0,5.3,0,3.7
2014,2,20,1.4,-3,7.7,0,4.4,1.4,340,-4.5,66.1,1019.2,1028,8,13.8,0,2.5,1.8,2
2014,2,21,1,-4.7,7.9,0,3,1.1,340,-7.7,57.1,1022,1030.8,10,17.93,0,0,0,3
2014,2,22,1.9,-4.5,8.7,0,2.6,0.9,320,-5.7,60.4,1022.9,1031.7,8.8,15.59,0,0.5,0,2.6
2014,2,23,3.2,-3.5,10.8,0,2.3,0.8,340,-5.5,56.8,1022.5,1031.2,8.6,14.8,0,0,0,3.5
2014,2,24,4.4,-2.4,11.9,0,3.2,1.1,340,-3,60.6,1021.1,1029.8,7.8,14.59,0,0,0,4.3
2014,2,25,6,-1.5,13.6,0,2.4,0.9,320,-1.3,62.1,1020.2,1028.8,7.4,14.56,0,2.3,0,5.4
2014,2,26,6.4,1.5,12.3,0,6.1,1.5,110,1.2,71.3,1015.9,1024.4,0,7.38,0,7.1,5,5.2
2014,2,27,9.1,3.8,15.6,0,3,1.3,200,3.5,70.5,1012,1020.4,4.8,12.46,0,7.3,3.6,9.4
2014,2,28,8.4,2.7,14.5,0,5.5,1.7,110,2.6,68.6,1013.2,1021.6,6.1,13.95,0,7.8,4.8,9.6
2014,3,1,7.9,4.4,10.7,0,3.9,1.3,180,2.5,68.9,1010.3,1018.8,0,5.6,0,8.8,4.4,8.5
2014,3,2,5.1,1,11.5,0,5.2,1.7,340,-4.9,53.5,1013,1021.5,9.6,19.37,0,2.5,0.5,6.6
2014,3,3,4.8,-2.8,12.9,0,3.8,1,320,-8.4,42.8,1018.4,1027,10.5,19.62,0,0,0,6.5
2014,3,4,5.3,-1.2,11.8,0,3.8,1.2,340,-4.8,50,1014.5,1023.1,3.8,12.18,0,4,0,4.9
2014,3,5,2.9,-1.3,8,0,6.1,2.9,320,-9.4,45,1015.2,1023.8,10.3,21.31,0,1.5,1.5,6.7
2014,3,6,1.2,-3.8,6.7,0,5.5,1.9,320,-10.4,45.1,1019.2,1027.9,10.1,18.53,0,1.6,0.9,3.6
2014,3,7,0.9,-4.3,7.2,0,5.8,2.2,320,-12.9,39.3,1021.8,1030.6,10.6,21.4,0,2.3,0,4.6
2014,3,8,2.7,-3.2,8.7,0,4.8,1.5,230,-6.5,52,1016.9,1025.6,8.7,15.04,0,5.5,1,5.4
2014,3,9,2.3,-2,6.6,3.4,5.9,2.8,320,-4.4,65.3,1013.2,1021.8,6.8,13.62,0,4.8,3.5,4.8
2014,3,10,2.5,-4.5,10.1,0,3.2,1.7,200,-7.1,51.8,1018.5,1027.2,11.1,22.1,0,0,0,4.9
2014,3,11,5.3,-3.2,13.8,0,5.7,1.7,180,-8.3,46.8,1018,1026.6,10.2,19.99,0,0,0,6.1
2014,3,12,4.1,0.1,6.2,33.3,1.8,0.6,340,1.7,85.9,1009.2,1017.8,0,2.44,0,8.5,5.1,3.6
2014,3,13,4.1,1.8,6.2,7.1,4.8,1.5,360,3.3,94.8,1005.1,1013.6,0,3.22,0,9.8,7.1,5.1
2014,3,14,3.8,0.1,9.1,0.4,3.9,1.4,320,-1.3,72.3,1011.3,1019.9,9,17.77,0,4.1,3.9,5.7
2014,3,15,7.6,0,13.9,0,4.6,2.1,230,0.5,63.3,1012,1020.5,10.1,20.85,0,0,0,6.6
2014,3,16,12.2,7.6,18.6,0,4.8,2.3,140,4.8,62.3,1012.9,1021.2,9.8,18.29,0,0.5,0,10.7
2014,3,17,13.1,4,21.9,0,4.1,1.7,200,7.9,73.6,1009.8,1018.1,8.2,18.09,0,5.1,2.9,13.2
2014,3,18,13.4,9.3,18.2,0.1,4.8,2.3,320,7.6,69.9,1007,1015.2,8.1,18.91,0,5.9,3,14.4
2014,3,19,10.8,7.8,14,0,6.4,2.6,110,4.7,67.1,1008.5,1016.8,0.4,8.68,0,8.9,3.3,10.6
2014,3,20,7.1,2.3,10.3,0.9,8,2.3,320,2.3,73.8,1005.8,1014.2,5.2,11.52,0,7.9,6,8.2
2014,3,21,5.5,0.3,11.2,0,4.6,1.9,320,-3.1,58.8,1012.5,1021.1,11.2,21.74,0,1,1,8.5
2014,3,22,8.6,-0.2,16.4,0,5.5,1.9,200,0.7,60.1,1015.8,1024.2,11.3,22.52,0,0,0,10.2
2014,3,23,10.3,3.4,17.7,0,5.5,1.8,200,0.6,57.4,1019.8,1028.3,10.5,22.15,0,0,0,11.6
2014,3,24,10.6,1,17.4,0,5.5,1.6,180,1.3,56.9,1014.7,1023.1,8.9,19.48,0,4.8,3.4,11.8
2014,3,25,14.9,13.2,18.9,4.8,3.1,1,200,10.9,78.5,1006.9,1015.1,1.3,8.37,0,10,6.1,14.8
2014,3,26,14.9,11.9,20.7,9.8,3.3,1.1,340,11.9,84,1002.4,1010.5,3.3,11.26,0,6,4.1,15.1
2014,3,27,13.5,7.6,20.8,0,4,2,200,8.8,76.1,1009.1,1017.3,7.1,18.12,0,2.9,2.9,14.4
2014,3,28,17.4,9.4,25.7,0,4.3,1.3,200,7.8,60.4,1008.6,1016.7,8.7,21.73,0,4.4,2.4,17.4
2014,3,29,14.8,13.7,17,4.5,3.8,1,340,12.4,87,1000.4,1008.6,0,3.76,0,9.8,6.5,14.7
2014,3,30,14.5,11.6,19.1,2.9,3.6,1.6,340,9.7,75.4,1001.5,1009.7,7.7,16.06,0,5.1,4.4,15.5
2014,3,31,13.7,7.8,20.5,0,2.7,1,270,6.7,66.6,1008.4,1016.7,7.7,18.21,0,3.4,0.3,14.2
2014,4,1,14.8,6.1,23.7,0,3,1,320,2.5,50.4,1007.9,1016.1,10.7,23.04,0,1.1,0,15.5
2014,4,2,15.8,7.5,24.1,0,3.2,1,320,1.8,42.6,1008.5,1016.7,10.5,22.08,0,2.3,0.4,16.5
2014,4,3,11.6,5,20.7,2.5,6.2,1.7,320,2.7,57.8,1005.3,1013.6,7,17.06,0,6.4,1.9,14.7
2014,4,4,7.3,1.8,13.6,0,5.2,2.1,340,-3,52.6,1005.2,1013.6,12.1,25.2,0,1.9,1.5,12.2
2014,4,5,5.7,0.3,12.1,0,6.1,1.9,320,-1.7,61.3,1006.8,1015.3,7.3,16.15,0,3.5,3.5,8.5
2014,4,6,8,1.7,15,0,5.3,2.5,320,-4,47,1012.4,1020.9,12.2,26.9,0,0.6,0,11.6
2014,4,7,11.6,5.8,19.5,0,5.5,2.6,180,2.6,56.5,1011,1019.4,10.8,23.49,0,3.8,0,14.2
2014,4,8,12.7,2.9,21.6,0,2.9,1,340,-0.2,47.1,1009.8,1018.1,11.7,25.41,0,0,0,16.2
2014,4,9,13.7,5.6,22.6,0,4.6,1.5,180,5.8,63,1008.8,1017.1,11.3,24.43,0,0,0,17.6
2014,4,10,14.4,8,22.1,0,4.4,1.5,110,7.6,66.9,1010.5,1018.7,7.9,20.44,0,5.3,3,17.2
2014,4,11,14.3,10.2,19.5,0,4.1,1.7,110,6.7,60.8,1011.1,1019.3,1.9,13.73,0,8.6,3.8,17.1
2014,4,12,15.1,11.7,19.8,0.5,3.3,1.2,110,9.9,72.5,1009.3,1017.5,2.3,11.28,0,9.5,3.6,15.8
2014,4,13,15.4,11.6,21.7,0,5.3,1.5,110,6.7,60.1,1008.9,1017.1,6,15.14,0,5.8,3.3,17.3
2014,4,14,15.3,5.4,24.6,0,3.4,1.3,230,3.7,50.3,1012.1,1020.4,10.1,23.81,0,0.1,0.1,18.8
2014,4,15,16,8.5,24.5,0,5.5,2.1,200,9.7,69.1,1011.4,1019.6,9.3,22.95,0,3,0,19.9
2014,4,16,17.5,11.9,24.4,0,5,2.3,200,7.3,56.9,1007.7,1015.8,9.1,21.76,0,4.6,0,20.8
2014,4,17,13.6,6.5,21.7,14.9,4.5,1.1,320,6,66.6,1005.4,1013.6,5,12.81,0,6.9,4.3,16.1
2014,4,18,15.9,12,20.9,0,3.8,1.7,360,11,74.8,1007.4,1015.6,6.7,18.75,0,5.9,4.1,18
2014,4,19,13.8,11,18.3,0,6.2,3.8,110,7,65.1,1011.7,1020,3.4,14.89,0,7.4,3,15.3
2014,4,20,15.1,9.4,22.2,0,6,2.5,140,5.5,54.4,1009.6,1017.8,10.8,26.43,0,4.6,1.5,18.9
2014,4,21,15.6,8.9,22.6,0,4.4,1.4,320,4.9,53.9,1007.4,1015.6,10.7,23.72,0,3.1,0.5,18.3
2014,4,22,15.1,8.1,22.9,0,4.1,1.3,320,2.8,49.3,1007.6,1015.8,8.3,24.05,0,3.3,0.1,17.3
2014,4,23,16.5,6.9,25,0,3,1.2,290,5,51.3,1010.1,1018.3,10.8,24.98,0,0.1,0.1,20.2
2014,4,24,18.4,9.8,26.7,0,4,1.2,320,6.8,52.4,1013.2,1021.3,10.3,24.67,0,1,0.8,22.3
2014,4,25,18.5,10.1,27.2,0,3.4,1.1,320,4.9,45.5,1014.9,1023.1,11.1,25.25,0,0,0,22
2014,4,26,17.8,11.1,24,0,2.5,0.9,320,8.9,57.4,1014.7,1022.8,2.6,14.62,0,7.9,3.3,19.9
2014,4,27,15.4,13.4,18.1,9.1,3.1,1,20,13.9,91.4,1011.9,1020.2,0,5.68,0,10,6.5,16.5
2014,4,28,13.5,12.5,15,24.2,6.6,3.1,70,11.9,90.9,1004.7,1012.9,0,2.52,0,10,7,13.6
2014,4,29,14.3,11.8,17.1,8.2,4,1.4,340,12.7,90.8,1000.7,1008.8,0.1,8.35,0,9.7,7.6,15.2
2014,4,30,15.7,9.9,20.3,0,2.6,1.2,200,11.1,75.6,1001.9,1010,5,17,0,4,3.8,18.3
2014,5,1,16.4,10.1,23.3,0,4.2,1.7,200,9.7,66.8,1006.1,1014.2,11.6,26.77,0,0.1,0.1,19.8
2014,5,2,16.7,9.2,25.8,0,4.5,1.9,290,9.7,66.6,1005.7,1013.9,9.6,23.61,0,4.9,2.4,20.3
2014,5,3,14.6,8.4,21.4,0,4.1,2,340,2.9,49.9,1011,1019.2,12.9,30.72,0,0.4,0.4,19.8
2014,5,4,12.7,7.4,21,2.2,6.5,1.6,270,6.1,68.4,1007.8,1016.1,2.5,15.32,0,7.9,1.8,15.6
2014,5,5,11.4,5.7,17.4,0,6.1,2.6,320,1.6,56.3,1010,1018.4,12.9,30.46,0,1.8,0.9,16.2
2014,5,6,13.7,6.7,19.7,0,4.7,1.9,200,1.9,49.4,1010.5,1018.7,13,30.47,0,0,0,19
2014,5,7,16.2,6.2,24.1,0.2,10.1,2,270,3.9,48.5,1005.2,1013.3,12.5,30.21,0,4,0.9,20.7
2014,5,8,15.7,11.2,20.9,1.8,8.5,2.3,290,10.3,73.1,1003.5,1011.7,9.3,23.59,0,4.6,4,20.2
2014,5,9,16.4,9.7,23.7,0,3.4,1.3,20,8.6,64.4,1010,1018.2,11,28.1,0,0,0,21.6
2014,5,10,19.7,11,26.7,0,6.3,3.1,110,6.5,46,1012,1020.1,12.6,30.22,0,0.3,0,24.5
2014,5,11,18.5,14.8,23.9,17,6.7,4.3,110,9.8,60.3,1004,1012,1.7,13.34,0,7.9,5.3,19.8
2014,5,12,17.5,14.7,21.5,8.7,4.5,2.7,200,13.4,78.9,999.1,1007.2,9.9,24.6,0,4.1,3.5,20.1
2014,5,13,20.4,13.5,26.8,0,4.4,2.4,180,13.7,68,1000.1,1008.1,12,28.46,0,0.8,0,22.8
2014,5,14,20.7,16,28,0,3.4,1.2,360,12.8,64.5,993.9,1001.8,8.8,23.86,0,5.4,0,23.4
2014,5,15,19.1,14.9,25.1,0,5.7,2.2,320,10.4,62.1,993.8,1001.7,10.3,26.15,0,3.9,1.6,22.7
2014,5,16,19.7,13.4,26.4,0,3.6,2.1,200,10,58,1001,1009,11.9,28.17,0,1.4,0,23.9
2014,5,17,20.1,13.6,26.2,0,3.6,1.4,180,11.4,60.5,1004.3,1012.3,11.4,24.45,0,2.8,0,24
2014,5,18,20.6,13.3,27.7,0,3.6,1.5,180,8.2,49.5,1005.2,1013.2,12,28.33,0,2.9,0,25.1
2014,5,19,20.6,12.1,28.3,0,3.4,1.3,320,9.1,52,1004.3,1012.3,9.6,26.71,0,4.1,0,25.5
2014,5,20,19.5,16.7,23.7,0,2.6,0.8,320,13.6,70,998.8,1006.8,2,10.56,0,7.1,1.4,20.7
2014,5,21,18.9,13.9,25.6,0,4.6,1.6,200,13.9,74.8,999.6,1007.5,9.8,23.27,0,2.8,2.8,23.3
2014,5,22,21.3,13.4,29.1,0,4.3,2,180,13.7,66.9,1004.3,1012.3,11.4,29.38,0,0.5,0.5,27.7
2014,5,23,22.4,18.3,27.3,0,4.3,2.5,180,15.9,68.1,1010,1017.9,8.1,23.12,0,2.9,2.9,28.2
2014,5,24,22.8,17.3,30.1,0,3.4,1.3,200,17,71.4,1008.9,1016.8,7.4,22.56,0,6.5,4.3,28.7
2014,5,25,21.3,18.7,26.6,14.9,4,1.4,200,17.4,80.5,1001,1008.9,1.6,11.53,0,9.4,5.4,25
2014,5,26,21.4,18,26,4.9,5.2,2.5,200,12.3,62,995.6,1003.5,11.9,28.35,0,3.9,2.4,23.8
2014,5,27,23.7,15.4,29.9,0,6,2.4,200,9.4,41.4,993.5,1001.3,12.5,27.77,0,1,0,24.8
2014,5,28,23.8,19.2,28.8,0,4.9,2.2,180,15,59.3,993,1000.7,10.4,25.74,0,2.3,1.8,26.7
2014,5,29,23.9,16.9,31.6,0,4.8,1.7,180,15.2,62,999.4,1007.3,11.7,29.5,0,0.5,0.5,28.7
2014,5,30,24.6,15.5,32.4,0,4.5,1.4,340,12.5,51.5,1002.5,1010.4,13.3,30.39,0,0,0,29.8
2014,5,31,25.6,17.4,33.3,0,4.4,1.6,200,14.8,54.1,1004.9,1012.8,12.2,28.57,0,0,0,30.8
2014,6,1,23.7,18.4,28.9,0,2.3,0.8,320,16.9,67.5,1004.2,1012,0.6,14.91,0,7.9,3.8,26.6
2014,6,2,21.6,19.2,24.8,1.2,8.2,2.6,110,16.2,73.1,999.2,1007.1,0,5.8,0,9.9,5.6,21.8
2014,6,3,19.5,17.4,21.5,45.2,5.9,3.1,110,17.8,90.6,997.5,1005.5,0.6,7.56,0,10,6.6,20.3
2014,6,4,22.3,19.8,26.5,0,5.6,3.1,90,17.1,73.1,996.9,1004.8,2.4,13.58,0,9.1,8.4,23.5
2014,6,5,21.9,19.8,24.7,0,5.7,2.3,70,16.4,71.5,996.6,1004.5,2.1,10.36,0,7.5,7.5,21.1
2014,6,6,23.2,16.8,29.1,0,3.6,1.2,320,17.1,70.8,997,1004.8,11.9,28.7,0,3.1,3.1,27.4
2014,6,7,23.4,18.4,28.4,0,3.5,1.1,200,18,72.8,997.1,1004.9,6.5,19.29,0,5.8,3.3,26.5
2014,6,8,22.8,19.5,27.1,0.1,4.1,2,200,18,75.8,998.9,1006.8,7.4,24.74,0,7.6,6,27.9
2014,6,9,22.3,19.4,28.1,9.3,6.3,1.2,320,19.3,84.8,1001.6,1009.5,6.1,17.28,0,6.4,6,26.9
2014,6,10,22.3,18.6,27.6,27.6,5.5,2.4,110,18.8,82,1001.7,1009.6,6.8,19.79,0,6.3,5.5,25.2
2014,6,11,21.9,17.8,26.5,5.2,3.4,1.6,360,17.5,77.9,998,1005.9,9,24.11,0,7,6.4,25.5
2014,6,12,19.7,16.5,25.7,37.6,9.2,1.4,230,17.2,86.9,994.7,1002.6,7.1,19.02,0,6.6,6.5,24.9
2014,6,13,20.7,16.8,24.9,0.1,5.2,2,200,18,85.9,996.7,1004.6,7.9,18.24,0,6,5.5,22.2
2014,6,14,22.1,17,27.3,0,4.2,1.9,200,17.7,78,999.7,1007.6,12.4,25.7,0,3.6,3,24.4
2014,6,15,22.6,17,28,0,3.6,1.4,320,17.9,77,999.4,1007.3,9.6,25.69,0,4.4,3.5,24.6
2014,6,16,23.3,17.4,28.4,0,2.8,1.3,200,17.6,73,998.4,1006.3,8.3,23.47,0,7.3,0,26.7
2014,6,17,23.6,21.1,27.9,0,3.6,1.5,200,19.9,80.5,997,1004.8,2.4,15.47,0,8.3,1.8,25.6
2014,6,18,24.3,18.3,30.3,0,3.5,1.5,320,16.9,66.6,996.7,1004.5,12.3,29.7,0,2.8,0.5,29.6
2014,6,19,23.4,19.4,27.6,0,2.7,1.3,340,19.1,78.3,998.5,1006.3,2.6,16.15,0,6.4,6.1,27.8
2014,6,20,23.1,19.1,28.4,14.9,7.4,1.2,320,20.3,86.5,1000,1007.9,3.5,16.45,0,7.9,3.6,27.1
2014,6,21,21.9,19.2,25,0,4.8,3.1,110,18.6,82.1,1000.2,1008.1,0.6,14.75,0,9,6.1,23.7
2014,6,22,23.9,18.7,29.4,0,3.7,1.6,110,18.7,74.4,999.2,1007,10.3,27.4,0,6.6,3.6,28.2
2014,6,23,22.5,20.3,27.1,1.9,3.2,1.5,200,19.7,85.4,998.5,1006.4,3.6,14.82,0,7.5,7.5,24.3
2014,6,24,22.4,18.8,27.6,0.6,3.8,1.1,50,19.5,85.1,998.8,1006.6,5.3,18.03,0,7.1,7.1,24.3
2014,6,25,23.9,18.9,28.4,0,2.3,1.2,200,19.5,78.5,1000.7,1008.5,7.4,23.72,0,6.3,4,27.2
2014,6,26,25.2,20.3,30.5,0,4,1.4,320,19.5,72.8,999.4,1007.3,10.1,27.42,0,6.3,3.5,31.6
2014,6,27,25.5,20.9,31.1,0,3.7,1.3,20,18.9,69.3,997,1004.8,11.7,27.76,0,4.4,2.4,32.1
2014,6,28,25,21.4,30.1,0,3.8,1.7,200,18.8,70.6,995.5,1003.2,10.2,23.25,0,6.1,6.1,32.9
2014,6,29,24.7,20.1,29,0,3.2,1.3,270,19.3,73.6,997.4,1005.2,9.2,22.3,0,5.4,4.5,32.6
2014,6,30,25.3,19.9,30.5,0,3.4,1.4,200,19,70,1000.7,1008.5,13.1,29.75,0,5.6,2,34.4
2014,7,1,26.6,21.7,32.6,0,3.7,1.6,200,20.3,71.3,1002.2,1010,11.4,29.17,0,4.8,3.5,36.2
2014,7,2,24.3,21.7,28.7,0.9,4.2,1.7,110,20.9,82.4,999.4,1007.3,0,11.84,0,9.5,6.4,28.6
2014,7,3,21.6,19.8,23.9,32.2,4.7,1.4,110,20.7,95.4,993.3,1001.2,0,6.69,0,10,6.9,23
2014,7,4,25.4,20.8,30.4,0.2,4.3,1.2,360,21.3,80,998.6,1006.3,8.2,23.03,0,6.3,4,28
2014,7,5,25.5,22.1,28.9,0,3.1,1.3,70,21.3,78.8,1002.4,1010.2,0,16.83,0,8.5,2.1,27
2014,7,6,22,20.8,24.2,2.9,4.3,2,110,19.8,88,998.8,1006.7,0,7.42,0,8.8,4.1,22.9
2014,7,7,25.1,19.9,29.5,0,4.6,1.8,110,21.4,81.6,998,1005.8,9.6,22.01,0,6.5,5,27.6
2014,7,8,27,23.1,31.3,1.9,3.4,1.3,200,23.3,82,998.9,1006.7,6.5,21.17,0,7.5,7.5,31.1
2014,7,9,26.9,24.4,29.7,2.1,4.4,1.7,20,24.8,88.9,993.7,1001.4,4.2,14.07,0,6.8,4.6,31.5
2014,7,10,28,24.4,32.8,0,4.3,2,320,22.3,73.4,988.3,995.9,12.3,27.1,0,5.6,4.6,33.4
2014,7,11,26.7,23,32.3,0,4.1,2.2,200,20.5,70.1,993.7,1001.4,11.6,26.11,0,4,2.9,30.8
2014,7,12,24.8,22.1,28.1,0.2,3,1.3,180,21.2,81.1,996.4,1004.2,1.4,11.93,0,8.9,4.4,27.5
2014,7,13,24.4,21.2,28.8,9.4,3,1.2,270,21.5,85,995.9,1003.7,5.6,18.31,0,8.4,4.6,26.8
2014,7,14,25.9,21.9,31.1,0,3.5,1.8,200,21.4,77.9,1000.4,1008.2,11.2,22.84,0,4,3.6,29.5
2014,7,15,25.3,22.1,28.7,0,3.1,1,200,22.3,84.3,1002.5,1010.3,0.3,11.56,0,9.8,4,26.6
2014,7,16,26.3,22.6,30.8,0,2.7,1,200,21.8,78,1002.6,1010.4,4.7,19.27,0,7.4,4.8,32.5
2014,7,17,24.6,22.9,27,2.7,3.6,1.3,200,22.4,88.4,1003.9,1011.8,0.1,8.92,0,9.6,6.3,25.4
